program_code,fe_raw,se,fe,program_name,tstat
PRBC,0.29686362112290077,0.006972600848804311,0.2859560834173767,Health-Care Information Technology,42.575737168980226
GFC,0.20465046762461525,0.008274530887919474,0.19374292991909117,Global Financial Crisis,24.732576432024416
HY,0.17271267626557224,0.0074395132047001935,0.16180513856004816,Economics of Hydrocarbon Infrastructure and Transportation,23.21558837431117
SD,0.15465046762461576,0.008274530887919532,0.14374292991909168,Sovereign Debt,18.689937800630965
CRP,0.14653065006040755,0.007802013141677831,0.13562311235488347,Corruption and Reform,18.781133458703195
SWB,0.12618749532654983,0.007388674693401136,0.11527995762102576,Subjective Well-Being,17.078501972653978
EFPD,0.12109847131748033,0.002248411818709461,0.11019093361195627,Price Dynamics,53.85956002801488
EFMB,0.10619075558718155,0.00330751079023106,0.09528321788165749,Macro Within and Across Borders,32.10594381152817
PRTC,0.08544334224498469,0.014254072303908554,0.07453580453946063,Productivity and Technical Change,5.994310988695883
PE,0.07232140373182039,0.002031637865735498,0.06141386602629632,Public Economics,35.59758604205698
SF,0.06792170168001277,0.006234896153609948,0.0570141639744887,Sustainable Finance,10.893798389999924
PET,0.05837254105307833,0.005141374584530474,0.04746500334755426,Public Economics: Taxation,11.353489245602027
EFACR,0.04185371803471819,0.0021460020984134863,0.03094618032919412,Aggregate Implications of Microeconomic Consumption Behavior,19.50311142084164
HFC,0.037983800957948954,0.008274530887919504,0.027076263252424883,Household Finance and Consumption,4.59044766071317
CRIW,0.035774498522858175,0.0008870097357976955,0.024866960817334104,Conference on Research in Income and Wealth,40.33157368975873
EH,0.03458945864244854,0.00690651230811003,0.02368192093692447,Economics of Health,5.008238181495975
REAL,0.03436760854938738,0.0015843548027788317,0.023460070843863305,Real Estate,21.691863772628036
EFDIS,0.03134837740179815,0.000821974914473638,0.020440839696274075,Inequality and the Macroeconomy,38.1378760468286
CRI,0.02892646880731074,0.0028738554859813873,0.01801893110178667,Economics of Crime,10.065387403233569
EFMPL,0.027257820425211486,0.0006278493772530898,0.016350282719687415,Aggregate Labor Market,43.414585428861066
CG,0.02291687539143022,0.004931677583016334,0.012009337685906151,Corporate Governance,4.646872186120023
MPF,0.02114023676794349,0.003284632590059784,0.01023269906241942,Macro Public Finance,6.436103944142719
HC,0.014914077710172495,0.0010778631614932002,0.004006540004648425,Health Care,13.836707889257037
ED,0.014733285960159806,0.0015615148485146329,0.0038257482546357365,Economics of Education,9.435251912061304
DEV,0.014580350733208857,0.004170571570825659,0.0036728130276847872,Development Economics,3.4960077978765742
CCEF,0.013510119780338371,0.014332523720659643,0.0026025820748143014,Currency Crises: Exchange Rates and Financial Issues,0.9426197398064783
EEE,0.01286933256809163,0.0029394536982071495,0.00196179486256756,Environmental & Energy Economics,4.378137534855873
EFMM,0.01220138954115902,0.005235679766251969,0.0012938518356349505,Micro Data and Macro Models,2.3304308295947496
SAV,0.008816791663715108,0.0025582724860257196,-0.0020907460418089618,Saving,3.446384899136373
PRIT,0.008465637605849605,0.0036906132066867802,-0.002441900099674465,Digital Economics and Artificial Intelligence,2.2938295431532274
SIP,0.008011119577619215,0.005720726528947504,-0.0028964181279048547,Science of Science Funding,1.400367512252521
PESS,0.007811987202150484,0.0009843012134175399,-0.0030955505033735857,Economics of Social Security,7.936581907713899
PRPD,0.007658233681309724,0.002392488719932171,-0.0032493040242143455,"Productivity, Development, and Entrepreneurship",3.2009487098132863
HE,0.007587585877821806,0.0008149399031239886,-0.003319951827702264,Health Economics,9.310607872722361
