program_code,fe_raw,se,fe,program_name,tstat
EFMM,-0.03164708236056097,0.028331422631340433,-0.04463973768569219,Micro Data and Macro Models,-1.1170311767384646
MEFM,-0.03540356327082643,0.010421575497575225,-0.04839621859595765,"Macro, Money and Financial Frictions",-3.3971411788038894
HC,-0.042633055433599895,0.0019415180307570713,-0.055625710758731114,Health Care,-21.95861936804968
PRIPE,-0.04561517024027863,0.004399280851707735,-0.058607825565409846,"Productivity, Innovation, and the Economy",-10.36877884769996
PRB,-0.04752382141406077,0.005879788240769298,-0.06051647673919199,Productivity and Business,-8.082573634972075
HF,-0.04790034283952438,0.00986919883498161,-0.0608929981646556,Household Finance,-4.853518876298294
IAP,-0.04942601117909974,0.016299864386355337,-0.06241866650423096,International Asset Pricing,-3.032295852747977
PRINN,-0.05564040754215281,0.00389066332051709,-0.06863306286728403,Innovation,-14.301008069430667
ITM,-0.05713608258997121,0.009869198834981281,-0.07012873791510243,International Trade & Macroeconomics,-5.789333414527318
IFM,-0.059181868507992376,6.193761530805996e-12,-0.07217452383312359,International Finance & Macroeconomics,-9555077026.075142
ME,-0.06158562694623537,8.18683200674664e-12,-0.07457828227136659,Monetary Economics,-7522522374.40363
CF,-0.06306269925664065,9.276758385860503e-12,-0.07605535458177187,Corporate Finance,-6797924084.425858
AP,-0.06339338708732849,8.85179174972478e-12,-0.0763860424124597,Asset Pricing,-7161644656.7780485
EFJK,-0.06414443968686942,0.004436801838621576,-0.07713709501200064,Economic Fluctuations and Growth Workshop,-14.457359607207023
PENS,-0.06479832104614427,0.005018630162304266,-0.0777909763712755,Economics of National Security,-12.911555334930801
ITI,-0.06512766104382375,8.740970306623384e-12,-0.07812031636895497,International Trade & Investment,-7450850278.541035
PRBB,-0.07150017265806251,0.005862149147638581,-0.08449282798319373,Productivity and Business Cycles,-12.196921445928163
PEC,-0.07541196704259487,0.008842029190216422,-0.08840462236772609,Public Economics: Corporate Taxation,-8.528807745402732
EFG,-0.07595952465346366,9.640773958440733e-12,-0.08895217997859488,Economic Growth and Long-Run Macroeconomic Development,-7878986166.557638
PRIO,-0.07764673812097975,0.007600114333110328,-0.09063939344611097,Industrial Organization and Productivity,-10.216522372921068
EE,-0.0777128099763883,0.007303709470062418,-0.09070546530151952,Environmental Economics,-10.64018363475843
LS,-0.07804439652612508,6.3137426606846015e-12,-0.0910370518512563,Labor Studies,-12361035398.560684
AMRE,-0.08432415549747553,0.028130705367987893,-0.09731681082260675,Asset Markets and Real Estate,-2.9975841129612952
EFEG,-0.11861071723108635,0.02402902251068642,-0.13160337255621757,EFG Program Meeting,-4.936144080698107
SAV,-0.13673905391772267,0.04102316841723503,-0.1497317092428539,Saving,-3.333215331565531
IFMDS,-0.17595772576983892,0.018442959890782262,-0.18895038109497014,IFM Data Session,-9.540644604328511
EFBEM,-0.27884390447305824,0.015447963529035423,-0.29183655979818945,Behavioral Macro,-18.05052840453394
