program_code,fe_raw,se,fe,program_name,tstat
PPL,-0.013669885494364082,0.0008237282828805414,-0.017620651565128216,Personnel Economics,-16.59513917205938
IFMDS,-0.014149025296504691,0.0035824340898261142,-0.018099791367268823,IFM Data Session,-3.9495563468109647
HF,-0.01757256366162281,0.00262211851415315,-0.021523329732386944,Household Finance,-6.701666445194267
CH,-0.01757733450431291,0.0008360150500417032,-0.021528100575077043,Children and Families,-21.0251412381106
EFCE,-0.01828295464764053,0.0015915035342555616,-0.02223372071840466,Economic Fluctuations and Growth: Consumption and the Economy,-11.487850484851437
URB,-0.018986719446848512,0.002838461293293698,-0.022937485517612648,Urban Economics,-6.689088729766216
EFSF,-0.019174911971321013,0.0021794602660497684,-0.023125678042085145,Financial Frictions and the Macroeconomy,-8.798009429222212
CRA,-0.02011715480234131,0.004449406153678009,-0.02406792087310544,Capital and Risk Allocation,-4.521312307196744
MEFM,-0.020257736643861837,0.0027751909202444087,-0.02420850271462597,"Macro, Money and Financial Frictions",-7.299583065109537
GE,-0.02150782367257999,0.004822558089207127,-0.025458589743344126,Gender in the Economy,-4.459837139279762
EFEG,-0.023298019588956467,0.0038750860966031506,-0.027248785659720602,EFG Program Meeting,-6.012258568752628
EFFE,-0.02332187651135418,0.00032876724640441477,-0.02727264258211831,Forecasting and Empirical Methods,-70.93734782407755
LE,-0.02464368758012945,1.4174013902309488e-16,-0.02859445365089358,Law and Economics,-173865270275444.34
POL,-0.025202078738820313,0.0019036825427590934,-0.029152844809584445,Political Economy,-13.238593185969862
EE,-0.025293337818418103,0.0051354080440421,-0.029244103889182235,Environmental Economics,-4.925282976834226
EFEL,-0.02657722107059215,0.00046977018052292267,-0.03052798714135628,Capital Markets and the Economy,-56.574942753939446
IO,-0.026731221466469827,1.4717662514244197e-16,-0.03068198753723396,Industrial Organization,-181626813637006.2
PENS,-0.027195585437069493,0.0013428911765641048,-0.031146351507833625,Economics of National Security,-20.251518448912286
IAP,-0.03013147416643522,0.0033432541534056236,-0.03408224023719936,International Asset Pricing,-9.01261848003438
IPM,-0.03037759671781321,0.004547152955015941,-0.03432836278857734,Impulse and Propagation Mechanisms,-6.680575080348648
EFG,-0.030714172671643086,1.8718762414974452e-16,-0.03466493874240722,Economic Growth and Long-Run Macroeconomic Development,-164082282742542.12
DEM,-0.03102631260235131,0.004615741984328273,-0.03497707867311545,Dynamic Equilibrium Models,-6.721847258294391
ITI,-0.03236026320662253,1.7734334689025743e-16,-0.036311029277386664,International Trade & Investment,-182472383509529.22
HEBNH,-0.03514513681647672,0.008288821394119574,-0.03909590288724085,Health Economics: Behavioral and New Health,-4.240064436834181
CF,-0.03534380230127284,1.3865066492121118e-16,-0.03929456837203697,Corporate Finance,-254912605874318.03
IEG,-0.036155215917384256,0.0061072718604367315,-0.04010598198814839,International Economics and Geopolitics,-5.920027263171283
ITM,-0.03640054940137316,0.0026221185141531403,-0.04035131547213729,International Trade & Macroeconomics,-13.882114482963926
PRINN,-0.03701670557671885,0.0010946028645672562,-0.04096747164748298,Innovation,-33.81747552008568
PRIPE,-0.037588603118514016,0.002946968820576912,-0.04153936918927815,"Productivity, Innovation, and the Economy",-12.755005365531998
PRB,-0.037673603108559495,0.004087246673958562,-0.04162436917932363,Productivity and Business,-9.21735488797206
IFM,-0.039228434059467826,1.4159849654960545e-16,-0.04317920013023196,International Finance & Macroeconomics,-277039905192249.97
AP,-0.03997343193090269,2.7799715057041605e-16,-0.043924198001666824,Asset Pricing,-143790797311706.66
ME,-0.041207999832136875,2.1801805529448934e-16,-0.04515876590290101,Monetary Economics,-189011867739462.66
PEPF,-0.04142212684255156,0.0025159871190976713,-0.04537289291331569,Public Economics and Public Finance,-16.463568723438897
IASE,-0.04151029572111527,0.004890715671965359,-0.0454610617918794,International Aspects of the U.S. Economy,-8.487570839388859
EM,-0.041810531134589095,0.007345203963820867,-0.04576129720535323,Frontier Econometric Methods,-5.692221936998449
MM,-0.04508951141364754,0.008263365931501065,-0.04904027748441167,Macroeconomic Models,-5.456555087529192
EFJK,-0.048631456845099334,0.0020021603820572498,-0.052582222915863466,Economic Fluctuations and Growth Workshop,-24.289491132138867
FMS,-0.04905124894631804,0.011485647109885184,-0.053002015017082175,Financial Market Structure,-4.27065610470496
LBAPRE,-0.05251354059730991,0.015699069566718855,-0.05646430666807404,"Labor, Applied Price, and Real-Economy Workshop",-3.3450097392163713
PRBB,-0.05349929174235546,0.004036641338537278,-0.05745005781311959,Productivity and Business Cycles,-13.2534171989978
PRIO,-0.06075106193902029,0.008813321450749737,-0.06470182800978443,Industrial Organization and Productivity,-6.893094990181288
AMRE,-0.06454641399007739,0.009569675504237329,-0.06849718006084153,Asset Markets and Real Estate,-6.744890562015094
PEC,-0.06819915672321435,0.012214024693596464,-0.07214992279397849,Public Economics: Corporate Taxation,-5.583676014587527
