program_code,fe_raw,se,fe,program_name,tstat
PRBC,0.28864777981177847,0.007630558726389786,0.28469701374101436,Health-Care Information Technology,37.82786951281943
GFC,0.2031791157903512,0.00787855558658317,0.19922834971958706,Global Financial Crisis,25.78887888236217
CRP,0.19098083273294345,0.006331200792651002,0.1870300666621793,Corruption and Reform,30.165025401599358
HY,0.1648548631835209,0.008288821394119593,0.16090409711275677,Economics of Hydrocarbon Infrastructure and Transportation,19.88881836692431
SD,0.15317911579035265,0.007878555586583163,0.1492283497195885,Sovereign Debt,19.442537925506297
EFPD,0.12476253943055474,0.0025122879630713707,0.1208117733597906,Price Dynamics,49.66092313638586
SWB,0.11343767839097556,0.009536657688562914,0.10948691232021142,Subjective Well-Being,11.89490931681638
EFMB,0.09738506741984077,0.0029096859915108855,0.09343430134907663,Macro Within and Across Borders,33.46927046559843
PRTC,0.07389262517694328,0.01421034324406592,0.06994185910617914,Productivity and Technical Change,5.19991839097905
SF,0.06066507651730846,0.00620763539963564,0.056714310446544326,Sustainable Finance,9.772654579692167
PE,0.057330551729274426,0.001203596934274835,0.053379785658510294,Public Economics,47.632683414747966
PET,0.039730499260199115,0.004502465082271979,0.03577973318943498,Public Economics: Taxation,8.824165992232592
HFC,0.03651244912368389,0.007878555586583203,0.03256168305291976,Household Finance and Consumption,4.634409026175155
EFACR,0.036120064157377944,0.0020587924986852583,0.03216929808661381,Aggregate Implications of Microeconomic Consumption Behavior,17.544295590956427
REAL,0.034747731679150004,1.3597191990647992e-16,0.030796965608385872,Real Estate,255550790950434.0
CRIW,0.029288921690326396,1.936953750699213e-16,0.025338155619562264,Conference on Research in Income and Wealth,151211259844245.16
EH,0.028838513675390413,0.005219160633471718,0.02488774760462628,Economics of Health,5.525507969699604
CRI,0.025566029282705665,0.002311784963974423,0.02161526321194153,Economics of Crime,11.058999725801712
EFMPL,0.019160110459695612,1.3901041228341473e-16,0.015209344388931479,Aggregate Labor Market,137832196487784.94
EFDIS,0.01846883386430448,1.4476421057960474e-16,0.014518067793540345,Inequality and the Macroeconomy,127578728128722.17
CG,0.010475973765785863,0.0050515402315144484,0.006525207695021729,Corporate Governance,2.0738177438300185
ED,0.010179557740968159,0.000987098152749264,0.006228791670204025,Economics of Education,10.312609452885788
MPF,0.009256152245027014,0.0027751909202444057,0.005305386174262881,Macro Public Finance,3.33532088819743
CCEF,0.008723920199862609,0.012214024693596434,0.004773154129098475,Currency Crises: Exchange Rates and Financial Issues,0.7142543443879218
EEE,0.008711877413376137,0.002162277071175636,0.004761111342612003,Environmental & Energy Economics,4.029029179243651
SAV,0.008071182808164589,0.003136560743453195,0.004120416737400455,Saving,2.573258887146124
EFMM,0.007221659046549603,0.00411758499737053,0.003270892975785469,Micro Data and Macro Models,1.753857916997784
SIP,0.005380419850117829,0.0038223624702023065,0.0014296537793536956,Science of Science Funding,1.4076163346782389
DEV,0.005094142952888082,0.0029096859915108938,0.0011433768821239483,Development Economics,1.7507535066500008
HC,0.0019616298929447857,0.0008033202424083548,-0.001989136177819348,Health Care,2.4419027299297444
HE,0.0006694199609237443,0.0007646866790286342,-0.0032813461098403895,Health Economics,0.8754173170298909
AG,0.0,,-0.003950766070764134,Aging,
PRIT,-0.0008251271668589192,0.002451948905668788,-0.004775893237623053,Digital Economics and Artificial Intelligence,-0.3365189074500145
CCDF,-0.0015324900565471568,0.012214024693596545,-0.005483256127311291,Currency Crises: Diagnosis and Frameworks,-0.12546970347543152
PESS,-0.001766466553759321,0.0004055515718640457,-0.005717232624523455,Economics of Social Security,-4.355713739784243
PRPD,-0.0018074066734534884,0.0026417298607897283,-0.005758172744217622,"Productivity, Development, and Entrepreneurship",-0.6841754337868504
RISK,-0.002463512743969899,0.0016213000878264297,-0.006414278814734033,Risks of Financial Institutions,-1.5194674708693616
ENT,-0.0027975594956288433,0.002451948905668776,-0.006748325566392977,Entrepreneurship,-1.1409534224636713
HPC,-0.0029399470478946657,0.003972335966729077,-0.0068907131186587995,Big Data and High-Performance Computing,-0.7401053366378508
EFBEM,-0.004787590145391325,0.0034218439259931293,-0.008738356216155459,Behavioral Macro,-1.3991258072946189
LS,-0.00794977644180591,1.4487005470084683e-16,-0.011900542512570044,Labor Studies,-54875222199798.34
PRMP,-0.010213093786719085,0.0027751909202444105,-0.014163859857483219,Macroeconomics and Productivity,-3.6801409633538364
DAE,-0.010767641098599724,1.4389136249901753e-16,-0.014718407169363857,Development of the American Economy,-74831740499178.62
