organizer_name,n_organizer_program_years,years_as_organizer,n_distinct_years_as_organizer,organizer_year_programs,programs_organized,n_own_papers_on_organized_programs,n_organizer_program_years_with_own_paper,share_of_organizer_program_years_with_own_paper,years_with_own_paper_while_organizing
Philipp Kircher,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-EFMPL; 2021-EFMPL; 2022-EFMPL; 2023-EFMPL; 2024-EFMPL; 2025-EFMPL; 2026-EFMPL,EFMPL,2,2,0.2857142857142857,2023; 2026
Reinhilde Veugelers,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-SIP; 2021-SIP; 2022-SIP; 2023-SIP; 2024-SIP; 2025-SIP; 2026-SIP,SIP,2,2,0.2857142857142857,2023; 2026
Crystal Yang,6,2021; 2022; 2023; 2024; 2025; 2026,6,2021-CRI; 2022-CRI; 2023-CRI; 2024-CRI; 2025-CRI; 2026-CRI,CRI,2,2,0.3333333333333333,2021; 2026
Ufuk Akcigit,6,2020; 2021; 2022; 2023; 2024; 2025,6,2020-EFG; 2021-EFG; 2022-EFG; 2023-EFG; 2024-EFG; 2025-EFG,EFG,2,2,0.3333333333333333,2020; 2023
Kosali I. Simon,5,2022; 2023; 2024; 2025; 2026,5,2022-AG; 2023-AG; 2024-AG; 2025-AG; 2026-AG,AG,2,2,0.4,2022; 2026
Maria Polyakova,5,2023; 2024; 2025; 2026,4,2023-PE; 2024-EH; 2024-PE; 2025-PE; 2026-PE,EH; PE,2,2,0.4,2024
Fernando V. Ferreira,2,2020; 2021,2,2020-REAL; 2021-REAL,REAL,2,2,1.0,2020; 2021
Raffaele Saggio,2,2022; 2026,2,2022-LS; 2026-LS,LS,2,2,1.0,2022; 2026
Stephen J. Redding,2,2020; 2021,2,2020-ITI; 2021-ITI,ITI,2,2,1.0,2020; 2021
Zoë B. Cullen,2,2022; 2025,2,2022-LS; 2025-LS,LS,2,2,1.0,2022; 2025
Heidi L. Williams,10,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-HC; 2020-PRINN; 2021-HC; 2021-PRINN; 2022-HC; 2022-PRINN; 2023-PRINN; 2024-PRINN; 2025-PRINN; 2026-PRINN,HC; PRINN,1,1,0.1,2022
Giovanni L. Violante,9,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-EFMM; 2021-EFEG; 2021-EFMM; 2022-EFMM; 2023-EFEG; 2023-EFMM; 2024-EFMM; 2025-EFMM; 2026-EFMM,EFEG; EFMM,1,1,0.1111111111111111,2022
Amir Sufi,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-CF; 2021-CF; 2022-CF; 2023-CF; 2024-CF; 2025-CF; 2026-CF,CF,1,1,0.14285714285714285,2020
Andrew Caplin,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-EFBEM; 2021-EFBEM; 2022-EFBEM; 2023-EFBEM; 2024-EFBEM; 2025-EFBEM; 2026-EFBEM,EFBEM,1,1,0.14285714285714285,2026
Antoinette Schoar,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-CF; 2021-CF; 2022-CF; 2023-CF; 2024-CF; 2025-CF; 2026-CF,CF,1,1,0.14285714285714285,2020
Florian Scheuer,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-MPF; 2021-MPF; 2022-MPF; 2023-MPF; 2024-MPF; 2025-MPF; 2026-MPF,MPF,1,1,0.14285714285714285,2025
Greg Kaplan,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-EFMM; 2021-EFMM; 2022-EFMM; 2023-EFMM; 2024-EFMM; 2025-EFMM; 2026-EFMM,EFMM,1,1,0.14285714285714285,2022
Guido Menzio,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-EFMPL; 2021-EFMPL; 2022-EFMPL; 2023-EFMPL; 2024-EFMPL; 2025-EFMPL; 2026-EFMPL,EFMPL,1,1,0.14285714285714285,2021
Janet Currie,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-CH; 2021-CH; 2022-CH; 2023-CH; 2024-CH; 2025-CH; 2026-CH,CH,1,1,0.14285714285714285,2025
Jens Ludwig,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-CRI; 2021-CRI; 2022-CRI; 2023-CRI; 2024-CRI; 2025-CRI; 2026-CRI,CRI,1,1,0.14285714285714285,2026
Jonathan S. Skinner,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-AG; 2021-AG; 2022-AG; 2023-AG; 2024-AG; 2025-AG; 2026-AG,AG,1,1,0.14285714285714285,2022
Mark L.J. Wright,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-EFMB; 2021-EFMB; 2022-EFMB; 2023-EFMB; 2024-EFMB; 2025-EFMB; 2026-EFMB,EFMB,1,1,0.14285714285714285,2022
Allan Timmermann,6,2021; 2022; 2023; 2024; 2025; 2026,6,2021-EFFE; 2022-EFFE; 2023-EFFE; 2024-EFFE; 2025-EFFE; 2026-EFFE,EFFE,1,1,0.16666666666666666,2026
Catherine Tucker,6,2021; 2022; 2023; 2024; 2025; 2026,6,2021-PRIT; 2022-PRIT; 2023-PRIT; 2024-PRIT; 2025-PRIT; 2026-PRIT,PRIT,1,1,0.16666666666666666,2026
David Lagakos,6,2020; 2021; 2022; 2023; 2024; 2025,6,2020-EFG; 2021-EFG; 2022-EFG; 2023-EFG; 2024-EFG; 2025-EFG,EFG,1,1,0.16666666666666666,2022
Francisco J. Buera,6,2020; 2021; 2022; 2023; 2024; 2025,6,2020-EFG; 2021-EFG; 2022-EFG; 2023-EFG; 2024-EFG; 2025-EFG,EFG,1,1,0.16666666666666666,2024
Leah Platt Boustan,6,2021; 2022; 2023; 2024; 2025; 2026,6,2021-DAE; 2022-DAE; 2023-DAE; 2024-DAE; 2025-DAE; 2026-DAE,DAE,1,1,0.16666666666666666,2024
Yael Hochberg,6,2021; 2022; 2023; 2024; 2025; 2026,6,2021-ENT; 2022-ENT; 2023-ENT; 2024-ENT; 2025-ENT; 2026-ENT,ENT,1,1,0.16666666666666666,2021
David M. Byrne,5,2022; 2023; 2024; 2025; 2026,5,2022-CRIW; 2023-CRIW; 2024-CRIW; 2025-CRIW; 2026-CRIW,CRIW,1,1,0.2,2023
Patrick M. Kline,5,2020; 2021; 2022; 2023; 2024,5,2020-LS; 2021-LS; 2022-LS; 2023-LS; 2024-LS,LS,1,1,0.2,2021
Chenzi Xu,4,2023; 2024; 2025; 2026,4,2023-IFMDS; 2024-IFMDS; 2025-IFMDS; 2026-IFMDS,IFMDS,1,1,0.25,2025
Rebecca Diamond,4,2021; 2023; 2025; 2026,4,2021-REAL; 2023-LS; 2025-URB; 2026-URB,LS; REAL; URB,1,1,0.25,2026
Tatiana Homonoff,4,2023; 2024; 2025; 2026,4,2023-PE; 2024-PE; 2025-PE; 2026-PE,PE,1,1,0.25,2024
Eric Chyn,3,2022; 2023; 2024,3,2022-PE; 2023-PE; 2024-PE,PE,1,1,0.3333333333333333,2023
Kathryn L. Shaw,3,2020; 2021; 2022,3,2020-PPL; 2021-PPL; 2022-PPL,PPL,1,1,0.3333333333333333,2022
Ulrike Malmendier,3,2024; 2025; 2026,3,2024-EFBEM; 2025-EFBEM; 2026-EFBEM,EFBEM,1,1,0.3333333333333333,2026
Danny Yagan,2,2020; 2023,2,2020-PE; 2023-PE,PE,1,1,0.5,2020
Dmitry Taubinsky,2,2020; 2022,2,2020-PE; 2022-PE,PE,1,1,0.5,2020
Itzik Fadlon,2,2025; 2026,2,2025-PE; 2026-PE,PE,1,1,0.5,2025
Jeffrey Clemens,2,2020; 2021,2,2020-PE; 2021-PE,PE,1,1,0.5,2020
Katherine Eriksson,2,2022; 2023,2,2022-DAE; 2023-DAE,DAE,1,1,0.5,2022
Laura Alfaro,2,2020; 2021,2,2020-ITI; 2021-ITI,ITI,1,1,0.5,2020
Lisa B. Kahn,2,2024; 2026,2,2024-PPL; 2026-LS,LS; PPL,1,1,0.5,2026
Meredith Fowlie,2,2022; 2025,2,2022-EEE; 2025-EEE,EEE,1,1,0.5,2022
Pascual Restrepo,2,2025; 2026,2,2025-LS; 2026-EFG,EFG; LS,1,1,0.5,2025
Peter J. Klenow,2,2022; 2026,2,2022-EFEG; 2026-EFEG,EFEG,1,1,0.5,2026
Anant Nyshadham,1,2023,1,2023-DEV,DEV,1,1,1.0,2023
Anders Humlum,1,2026,1,2026-LS,LS,1,1,1.0,2026
Ashley Langer,1,2024,1,2024-EEE,EEE,1,1,1.0,2024
Benjamin Faber,1,2022,1,2022-DEV,DEV,1,1,1.0,2022
Isaac Sorkin,1,2021,1,2021-LS,LS,1,1,1.0,2021
James J. Feigenbaum,1,2026,1,2026-DAE,DAE,1,1,1.0,2026
Joseph S. Shapiro,1,2024,1,2024-EEE,EEE,1,1,1.0,2024
Lint Barrage,1,2026,1,2026-EEE,EEE,1,1,1.0,2026
Lorenzo Lagos,1,2026,1,2026-LS,LS,1,1,1.0,2026
Michael Grossman,1,2020,1,2020-HE,HE,1,1,1.0,2020
Molly Schnell,1,2026,1,2026-EH,EH,1,1,1.0,2026
Pamela Jakiela,1,2024,1,2024-GE,GE,1,1,1.0,2024
Paul J. Eliason,1,2025,1,2025-EH,EH,1,1,1.0,2025
Paul Niehaus,1,2020,1,2020-DEV,DEV,1,1,1.0,2020
Simon Jäger,1,2021,1,2021-LS,LS,1,1,1.0,2021
Sydnee Caldwell,1,2024,1,2024-LS,LS,1,1,1.0,2024
Tamma Carleton,1,2023,1,2023-EEE,EEE,1,1,1.0,2023
Susanto Basu,14,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-CRIW; 2020-PRMP; 2021-CRIW; 2021-PRMP; 2022-CRIW; 2022-PRMP; 2023-CRIW; 2023-PRMP; 2024-CRIW; 2024-PRMP; 2025-CRIW; 2025-PRMP; 2026-CRIW; 2026-PRMP,CRIW; PRMP,0,0,0.0,
Nicholas Bloom,11,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-CRIW; 2020-PRMP; 2020-PRPD; 2021-CRIW; 2021-PRMP; 2021-PRPD; 2022-PRMP; 2023-PRMP; 2024-PRMP; 2025-PRMP; 2026-PRMP,CRIW; PRMP; PRPD,0,0,0.0,
Raffaella Sadun,8,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-PRMP; 2021-PRMP; 2022-PPL; 2022-PRMP; 2023-PRMP; 2024-PRMP; 2025-PRMP; 2026-PRMP,PPL; PRMP,0,0,0.0,
Stefanie Stantcheva,8,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-MPF; 2021-MPF; 2022-MPF; 2023-MPF; 2024-MPF; 2025-MPF; 2026-MPF; 2026-POL,MPF; POL,0,0,0.0,
Aleh Tsyvinski,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-MPF; 2021-MPF; 2022-MPF; 2023-MPF; 2024-MPF; 2025-MPF; 2026-MPF,MPF,0,0,0.0,
Anna Aizer,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-CH; 2021-CH; 2022-CH; 2023-CH; 2024-CH; 2025-CH; 2026-CH,CH,0,0,0.0,
Arvind Krishnamurthy,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-MEFM; 2021-MEFM; 2022-MEFM; 2023-MEFM; 2024-MEFM; 2025-MEFM; 2026-MEFM,MEFM,0,0,0.0,
Benjamin Jones,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-PRINN; 2021-PRINN; 2022-PRINN; 2023-PRINN; 2024-PRINN; 2025-PRINN; 2026-PRINN,PRINN,0,0,0.0,
Chad Syverson,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-PRMP; 2021-PRMP; 2022-PRMP; 2023-PRMP; 2024-PRMP; 2025-PRMP; 2026-PRMP,PRMP,0,0,0.0,
Christine Jolls,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-LE; 2021-LE; 2022-LE; 2023-LE; 2024-LE; 2025-LE; 2026-LE,LE,0,0,0.0,
Christopher S. Carpenter,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-HE; 2021-HE; 2022-HE; 2023-EH; 2024-EH; 2025-EH; 2026-EH,EH; HE,0,0,0.0,
David T. Robinson,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-ENT; 2021-ENT; 2022-ENT; 2023-ENT; 2024-ENT; 2025-ENT; 2026-ENT,ENT,0,0,0.0,
Deborah J. Lucas,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-EFEL; 2021-EFEL; 2022-EFEL; 2023-EFEL; 2024-EFEL; 2025-EFEL; 2026-EFEL,EFEL,0,0,0.0,
Dirk Krueger,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-MPF; 2021-MPF; 2022-MPF; 2023-MPF; 2024-MPF; 2025-MPF; 2026-MPF,MPF,0,0,0.0,
Edward L. Glaeser,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-URB; 2021-URB; 2022-URB; 2023-URB; 2024-URB; 2025-URB; 2026-URB,URB,0,0,0.0,
Emi Nakamura,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-ME; 2021-ME; 2022-ME; 2023-ME; 2024-ME; 2025-ME; 2026-ME,ME,0,0,0.0,
Giuseppe Moscarini,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-EFMPL; 2021-EFMPL; 2022-EFMPL; 2023-EFMPL; 2024-EFMPL; 2025-EFMPL; 2026-EFMPL,EFMPL,0,0,0.0,
Guillermo Ordoñez,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-MEFM; 2021-MEFM; 2022-MEFM; 2023-MEFM; 2024-MEFM; 2025-MEFM; 2026-MEFM,MEFM,0,0,0.0,
James M. Poterba,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-PESS; 2021-PESS; 2022-PESS; 2023-PESS; 2024-PESS; 2025-PESS; 2026-PESS,PESS,0,0,0.0,
Janice C. Eberly,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-EFEL; 2021-EFEL; 2022-EFEL; 2023-EFEL; 2024-EFEL; 2025-EFEL; 2026-EFEL,EFEL,0,0,0.0,
Jesse Schreger,7,2023; 2024; 2025; 2026,4,2023-IFMDS; 2024-IEG; 2024-IFMDS; 2025-IEG; 2025-IFMDS; 2026-IEG; 2026-IFMDS,IEG; IFMDS,0,0,0.0,
Josh Lerner,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-ENT; 2021-ENT; 2022-ENT; 2023-ENT; 2024-ENT; 2025-ENT; 2026-ENT,ENT,0,0,0.0,
Jón Steinsson,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-ME; 2021-ME; 2022-ME; 2023-ME; 2024-ME; 2025-ME; 2026-ME,ME,0,0,0.0,
Lawrence Christiano,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-IPM; 2021-IPM; 2022-IPM; 2023-IPM; 2024-IPM; 2025-IPM; 2026-IPM,IPM,0,0,0.0,
Markus K. Brunnermeier,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-MEFM; 2021-MEFM; 2022-MEFM; 2023-MEFM; 2024-MEFM; 2025-MEFM; 2026-MEFM,MEFM,0,0,0.0,
Martin S. Eichenbaum,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-IPM; 2021-IPM; 2022-IPM; 2023-IPM; 2024-IPM; 2025-IPM; 2026-IPM,IPM,0,0,0.0,
Paula Stephan,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-SIP; 2021-SIP; 2022-SIP; 2023-SIP; 2024-SIP; 2025-SIP; 2026-SIP,SIP,0,0,0.0,
Raquel Fernández,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-EFDIS; 2021-EFDIS; 2022-EFDIS; 2023-EFDIS; 2024-EFDIS; 2025-EFDIS; 2026-EFDIS,EFDIS,0,0,0.0,
Roland Bénabou,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-EFDIS; 2021-EFDIS; 2022-EFDIS; 2023-EFDIS; 2024-EFDIS; 2025-EFDIS; 2026-EFDIS,EFDIS,0,0,0.0,
Stephen P. Zeldes,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-HF; 2021-HF; 2022-HF; 2023-HF; 2024-HF; 2025-HF; 2026-HF,HF,0,0,0.0,
Sydney C. Ludvigson,7,2020; 2021; 2022; 2023; 2024; 2025; 2026,7,2020-AP; 2021-AP; 2022-AP; 2023-AP; 2024-AP; 2025-AP; 2026-AP,AP,0,0,0.0,
Adam B. Jaffe,6,2020; 2021; 2022; 2023; 2024; 2025,6,2020-PRINN; 2021-PRINN; 2022-PRINN; 2023-PRINN; 2024-PRINN; 2025-PRINN,PRINN,0,0,0.0,
Claudia Goldin,6,2020; 2022; 2023; 2024; 2025; 2026,6,2020-GE; 2022-GE; 2023-GE; 2024-GE; 2025-GE; 2026-GE,GE,0,0,0.0,
Claudia Olivetti,6,2020; 2022; 2023; 2024; 2025; 2026,6,2020-GE; 2022-GE; 2023-GE; 2024-GE; 2025-GE; 2026-GE,GE,0,0,0.0,
Cristina Arellano,6,2021; 2022; 2023; 2024; 2025; 2026,6,2021-EFMB; 2022-EFMB; 2023-EFMB; 2024-EFMB; 2025-EFMB; 2026-EFMB,EFMB,0,0,0.0,
Jessica Goldberg,6,2020; 2022; 2023; 2024; 2025; 2026,6,2020-GE; 2022-GE; 2023-GE; 2024-GE; 2025-GE; 2026-GE,GE,0,0,0.0,
Jesús Fernández-Villaverde,6,2021; 2022; 2023; 2024; 2025; 2026,6,2021-DEM; 2022-DEM; 2023-DEM; 2024-DEM; 2025-DEM; 2026-DEM,DEM,0,0,0.0,
Jonathan H. Wright,6,2021; 2022; 2023; 2024; 2025; 2026,6,2021-EFFE; 2022-EFFE; 2023-EFFE; 2024-EFFE; 2025-EFFE; 2026-EFFE,EFFE,0,0,0.0,
