year,fe_raw,se,fe
2000,0.0,,0.025139305039225453
2001,0.0007653609569848712,0.016677899482521092,0.025904665996210323
2002,-0.008070846423259071,0.01197821360435792,0.017068458615966384
2003,-0.023109645309566655,0.011774765657685675,0.0020296597296587983
2004,-0.009599978263135054,0.01400287249118394,0.0155393267760904
2005,-0.014134617738125518,0.01661367592475028,0.011004687301099936
2006,-0.008259693183848883,0.012991843855157885,0.01687961185537657
2007,-0.015685616125904404,0.01854579531896628,0.009453688913321049
2008,-0.018675545113786184,0.01290022214946484,0.00646375992543927
2009,-0.0414143303871477,0.014655134585920358,-0.01627502534792225
2010,-0.023513603201659468,0.01415405237422168,0.0016257018375659855
2011,-0.018775152023142477,0.015396941530460541,0.006364153016082976
2012,-0.02137827251356573,0.01524937364905193,0.003761032525659725
2013,-0.02669581113964715,0.014691396863261142,-0.001556506100421698
2014,-0.022608019992741233,0.015385918267164359,0.0025312850464842204
2015,-0.033054019906736246,0.016475710275743412,-0.007914714867510792
2016,-0.028873407684561245,0.016192001488693614,-0.0037341026453357913
2017,-0.04800180719248122,0.015116135970604119,-0.022862502153255766
2018,-0.014970168447523309,0.016640342062572658,0.010169136591702144
2019,-0.03795514233143178,0.015154990918576335,-0.012815837292206329
2020,-0.04171385531262961,0.016384804401795544,-0.016574550273404157
2021,-0.043426451145767236,0.01628012473635089,-0.018287146106541783
2022,-0.039767588380884594,0.017390089167995015,-0.01462828334165914
2023,-0.043711202781036615,0.01531199496375634,-0.01857189774181116
2024,-0.04335457124024042,0.01621828993572454,-0.018215266201014966
2025,-0.03362934340035359,0.01669789033990132,-0.008490038361128136
2026,-0.019147907776896594,0.019644682117518478,0.005991397262328859
