year,program_code,program_name,organizer_names,organizer_count,included_in_target_scope,agenda_captured,http_status,papers_total,papers_with_program_year_organizer,program_year_organizer_share,source_url,coverage_note
2020,AG,Aging,David M. Cutler; Jonathan S. Skinner,2,1,1,200,12,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20AG,captured official printable agenda
2020,AP,Asset Pricing,Ralph S. J. Koijen; Sydney C. Ludvigson,2,1,1,200,13,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20AP,captured official printable agenda
2020,EFBEM,Behavioral Macro,Andrew Caplin; Michael Woodford,2,1,1,200,5,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20EFBEM,captured official printable agenda
2020,EFEL,Capital Markets and the Economy,Janice C. Eberly; Deborah J. Lucas,2,1,1,200,12,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20EFEL,captured official printable agenda
2020,CH,Children,Janet Currie; Anna Aizer,2,1,1,200,14,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20CH,captured official printable agenda
2020,CRIW,Conference on Research in Income and Wealth,Katharine G. Abraham; Susanto Basu; Nicholas Bloom; Carol A. Corrado,4,1,1,200,12,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20PRCR,captured official printable agenda
2020,CF,Corporate Finance,Antoinette Schoar; Amir Sufi,2,1,1,200,16,2,0.125,https://conference.nber.org/agenda/simple_printable?conf_id=SI20CF,captured official printable agenda
2020,DEV,Development Economics,Christopher Blattman; Shawn Cole; Dave Donaldson; Kelsey Jack; Seema Jayachandran; Paul Niehaus; Alessandra Voena,7,1,1,200,18,1,0.05555555555555555,https://conference.nber.org/agenda/simple_printable?conf_id=SI20DEV,captured official printable agenda
2020,DAE,Development of the American Economy,Kris James Mitchener; John Parman; Allison Shertzer,3,1,1,200,24,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20DAE,captured official printable agenda
2020,EFEG,EFG Program Meeting,Benjamin Moll; Valerie A. Ramey,2,1,1,200,5,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=EFGs20,captured official printable agenda
2020,EFG,Economic Growth,Ufuk Akcigit; Francisco J. Buera; David Lagakos,3,1,1,200,12,1,0.08333333333333333,https://conference.nber.org/agenda/simple_printable?conf_id=SI20EFEG,captured official printable agenda
2020,CRI,Economics of Crime,Philip J. Cook; Jens Ludwig,2,1,1,200,13,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20CRI,captured official printable agenda
2020,ED,Economics of Education,Caroline M. Hoxby,1,1,1,200,10,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20ED,captured official printable agenda
2020,PENS,Economics of National Security,Eli Berman,1,1,1,200,5,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20PENS,captured official printable agenda
2020,PESS,Economics of Social Security,Alexander M. Gelber; James M. Poterba,2,1,1,200,4,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20ESS,captured official printable agenda
