year,program_code,program_name,organizer_names,organizer_count,included_in_target_scope,agenda_captured,http_status,papers_total,papers_with_program_year_organizer,program_year_organizer_share,source_url,coverage_note
2020,ENT,Entrepreneurship,Josh Lerner; David T. Robinson,2,1,1,200,12,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20PRENT,captured official printable agenda
2020,EEE,Environmental & Energy Economics,Christopher R. Knittel; Reed Walker,2,1,1,200,10,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20EEE,captured official printable agenda
2020,GE,Gender in the Economy,Jessica Goldberg; Claudia Goldin; Seema Jayachandran; Claudia Olivetti; Tom Vogl,5,1,1,200,11,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20GE,captured official printable agenda
2020,HC,Health Care,Amy Finkelstein; Heidi L. Williams,2,1,1,200,7,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20HC,captured official printable agenda
2020,HE,Health Economics,Christopher S. Carpenter; Michael Grossman; Robert Kaestner,3,1,1,200,7,1,0.14285714285714285,https://conference.nber.org/agenda/simple_printable?conf_id=SI20HE,captured official printable agenda
2020,HF,Household Finance,Adair Morse; Johannes Stroebel; Stephen P. Zeldes,3,1,1,200,8,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20HF,captured official printable agenda
2020,IFMDS,IFM Data Sources,Galina Hale; Michael W. Klein,2,1,1,200,5,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20IFMDS,captured official printable agenda
2020,PRIT,IT and Digitization,Erik Brynjolfsson; Shane Greenstein; Susan Athey; Hal R. Varian,4,1,1,200,31,1,0.03225806451612903,https://conference.nber.org/agenda/simple_printable?conf_id=SI20PRIT,captured official printable agenda
2020,IPM,Impulse and Propagation Mechanisms,Lawrence Christiano; Martin S. Eichenbaum,2,1,1,200,17,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20EFCE,captured official printable agenda
2020,EFDIS,Income Distribution and Macroeconomics,Roland Bénabou; Raquel Fernández; Oded Galor; Fabrizio Zilibotti,4,1,1,200,6,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20EFDIS,captured official printable agenda
2020,IO,Industrial Organization,Ying Fan; Jakub Kastl; Thomas G. Wollmann,3,1,1,200,10,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20IO,captured official printable agenda
2020,PRINN,Innovation,Adam B. Jaffe; Benjamin Jones; Heidi L. Williams,3,1,1,200,8,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20PRINN,captured official printable agenda
2020,IFM,International Finance & Macroeconomics,Matteo Maggiori; Ina Simonovska,2,1,1,200,9,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20IFM,captured official printable agenda
2020,ITI,International Trade & Investment,Laura Alfaro; Costas Arkolakis; Stephen J. Redding,3,1,1,200,20,2,0.1,https://conference.nber.org/agenda/simple_printable?conf_id=SI20ITI,captured official printable agenda
2020,ITM,International Trade & Macroeconomics,Andrei A. Levchenko; Katheryn Russ,2,1,1,200,4,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20ITM,captured official printable agenda
2020,LS,Labor Studies,David Autor; Patrick M. Kline; Alexandre Mas,3,1,1,200,16,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20LS,captured official printable agenda
2020,LE,Law and Economics,Christine Jolls,1,1,1,200,4,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20LE,captured official printable agenda
2020,EFMPL,Macro Perspectives,Philipp Kircher; Guido Menzio; Giuseppe Moscarini,3,1,1,200,9,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20EFMPL,captured official printable agenda
2020,MPF,Macro Public Finance,Dirk Krueger; Aleh Tsyvinski; Florian Scheuer; Stefanie Stantcheva,4,1,1,200,4,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20MPF,captured official printable agenda
2020,EFMB,Macro Within and Across Borders,Mark A. Aguiar; Patrick J. Kehoe; Mark L.J. Wright,3,1,1,200,4,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20EFMB,captured official printable agenda
2020,MEFM,"Macro, Money and Financial Markets",Markus K. Brunnermeier; Arvind Krishnamurthy; Guillermo Ordoñez,3,1,1,200,10,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20MEFM,captured official printable agenda
2020,PRMP,Macroeconomics and Productivity,Susanto Basu; Nicholas Bloom; Raffaella Sadun; Chad Syverson,4,1,1,200,6,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20PRMP,captured official printable agenda
2020,EFMM,Micro Data and Macro Models,Erik Hurst; Greg Kaplan; Giovanni L. Violante,3,1,1,200,7,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20EFMM,captured official printable agenda
2020,ME,Monetary Economics,Emi Nakamura; Jón Steinsson,2,1,1,200,19,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20ME,captured official printable agenda
2020,PPL,Personnel Economics,Mitchell Hoffman; Kathryn L. Shaw,2,1,1,200,9,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20PPL,captured official printable agenda
2020,POL,Political Economy,Gerard Padró I Miquel; Jesse M. Shapiro,2,1,1,200,5,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20POL,captured official printable agenda
2020,PRPD,"Productivity, Development, and Entrepreneurship",Nicholas Bloom; Chang-Tai Hsieh; Tavneet Suri; Christopher Woodruff,4,1,1,200,5,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20PRPD,captured official printable agenda
2020,PE,Public Economics,Raj Chetty; Jeffrey Clemens; Nathaniel Hendren; Henrik Kleven; Dmitry Taubinsky; Danny Yagan,6,1,1,200,12,3,0.25,https://conference.nber.org/agenda/simple_printable?conf_id=SI20PE,captured official printable agenda
2020,REAL,Real Estate,Fernando V. Ferreira; Tomasz Piskorski,2,1,1,200,14,2,0.14285714285714285,https://conference.nber.org/agenda/simple_printable?conf_id=SI20REAL,captured official printable agenda
2020,RISK,Risks of Financial Institutions,Mark Carey; René M. Stulz,2,1,1,200,11,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20RISK,captured official printable agenda
2020,SIP,Science of Science Funding,Paula Stephan; Reinhilde Veugelers,2,1,1,200,5,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20PRSF,captured official printable agenda
2020,URB,Urban Economics,Edward L. Glaeser,1,1,1,200,25,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI20URB,captured official printable agenda
2021,AG,Aging,David M. Cutler; Jonathan S. Skinner,2,1,1,200,18,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21AG,captured official printable agenda
2021,AP,Asset Pricing,Ralph S. J. Koijen; Sydney C. Ludvigson,2,1,1,200,10,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21AP,captured official printable agenda
2021,EFBEM,Behavioral Macro,Andrew Caplin; Michael Woodford,2,1,1,200,5,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21EFBEM,captured official printable agenda
2021,HPC,Big Data and High-Performance Computing,Toni Whited; Mao Ye,2,1,1,200,14,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21HPC,captured official printable agenda
2021,EFEL,Capital Markets and the Economy,Janice C. Eberly; Deborah J. Lucas,2,1,1,200,12,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21EFEL,captured official printable agenda
2021,CH,Children,Janet Currie; Anna Aizer,2,1,1,200,16,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21CH,captured official printable agenda
2021,CRIW,Conference on Research in Income and Wealth,Katharine G. Abraham; Susanto Basu; Nicholas Bloom; Carol A. Corrado,4,1,1,200,14,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21PRCR,captured official printable agenda
2021,CF,Corporate Finance,Antoinette Schoar; Amir Sufi,2,1,1,200,12,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21CF,captured official printable agenda
2021,DEV,Development Economics,David Atkin; Frederico Finan; Andrew Foster; Rema Hanna; Seema Jayachandran; Ahmed Mushfiq Mobarak; Shing-Yi Wang,7,1,1,200,12,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21DEV,captured official printable agenda
2021,DAE,Development of the American Economy,Christopher M. Meissner; John Parman; Allison Shertzer; Leah Platt Boustan; William J. Collins,5,1,1,200,24,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21DAE,captured official printable agenda
2021,DEM,Dynamic Equilibrium Models,S. Borağan Aruoba; Jesús Fernández-Villaverde; Frank Schorfheide,3,1,1,200,8,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21EFSF,captured official printable agenda
2021,EFEG,EFG Program Meeting,Jennifer La'O; Giovanni L. Violante,2,1,1,200,6,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=EFGs21,captured official printable agenda
2021,EFG,Economic Growth,Ufuk Akcigit; Francisco J. Buera; David Lagakos,3,1,1,200,12,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21EFEG,captured official printable agenda
2021,CRI,Economics of Crime,Philip J. Cook; Jens Ludwig; Crystal Yang,3,1,1,200,12,1,0.08333333333333333,https://conference.nber.org/agenda/simple_printable?conf_id=SI21CRI,captured official printable agenda
2021,ED,Economics of Education,Caroline M. Hoxby,1,1,1,200,11,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21ED,captured official printable agenda
2021,PENS,Economics of National Security,Eli Berman,1,1,1,200,6,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21PENS,captured official printable agenda
2021,PESS,Economics of Social Security,Alexander M. Gelber; James M. Poterba,2,1,1,200,7,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21ESS,captured official printable agenda
2021,ENT,Entrepreneurship,Yael Hochberg; Josh Lerner; David T. Robinson,3,1,1,200,6,1,0.16666666666666666,https://conference.nber.org/agenda/simple_printable?conf_id=SI21PRENT,captured official printable agenda
2021,EEE,Environmental & Energy Economics,Matthew Kotchen; Mar Reguant,2,1,1,200,24,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21EEE,captured official printable agenda
2021,EFFE,Forecasting and Empirical Methods,Allan Timmermann; Jonathan H. Wright,2,1,1,200,8,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21EFFE,captured official printable agenda
2021,HC,Health Care,William N. Evans; Amy Finkelstein; Timothy Layton; Heidi L. Williams,4,1,1,200,8,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21HC,captured official printable agenda
2021,HE,Health Economics,Christopher S. Carpenter; Rosalie Liccardo Pacula; Tara Watson,3,1,1,200,10,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21HE,captured official printable agenda
2021,HF,Household Finance,Adair Morse; Johannes Stroebel; Stephen P. Zeldes,3,1,1,200,16,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21HF,captured official printable agenda
2021,IFMDS,IFM Data Sources,Galina Hale; Michael W. Klein,2,1,1,200,5,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21IFMDS,captured official printable agenda
2021,PRIT,IT and Digitization,Susan Athey; Erik Brynjolfsson; Catherine Tucker; Hal R. Varian,4,1,1,200,37,1,0.02702702702702703,https://conference.nber.org/agenda/simple_printable?conf_id=SI21PRIT,captured official printable agenda
2021,IPM,Impulse and Propagation Mechanisms,Lawrence Christiano; Martin S. Eichenbaum,2,1,1,200,20,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21EFCE,captured official printable agenda
2021,IO,Industrial Organization,Ulrich Doraszelski; Gastón Illanes; Bradley Larsen; Fiona Scott Morton,4,1,1,200,12,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21IO,captured official printable agenda
2021,EFDIS,Inequality and the Macroeconomy,Roland Bénabou; Raquel Fernández; Oded Galor,3,1,1,200,6,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21EFDIS,captured official printable agenda
2021,PRINN,Innovation,Adam B. Jaffe; Benjamin Jones; Heidi L. Williams,3,1,1,200,8,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21PRINN,captured official printable agenda
2021,IAP,International Asset Pricing,Karen K. Lewis; Adrien Verdelhan,2,1,1,200,7,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21IAP,captured official printable agenda
2021,IFM,International Finance & Macroeconomics,Galina Hale; Matteo Maggiori,2,1,1,200,12,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21IFM,captured official printable agenda
2021,ITI,International Trade & Investment,Laura Alfaro; Pablo D. Fajgelbaum; Stephen J. Redding,3,1,1,200,15,1,0.06666666666666667,https://conference.nber.org/agenda/simple_printable?conf_id=SI21ITI,captured official printable agenda
2021,ITM,International Trade & Macroeconomics,Andrei A. Levchenko; Katheryn Russ,2,1,1,200,4,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21ITM,captured official printable agenda
2021,LS,Labor Studies,David Autor; Patrick M. Kline; Alexandre Mas; Conrad Miller; Isaac Sorkin; Heather Sarsons; Simon Jäger,7,1,1,200,19,4,0.21052631578947367,https://conference.nber.org/agenda/simple_printable?conf_id=SI21LS,captured official printable agenda
2021,LE,Law and Economics,Christine Jolls,1,1,1,200,4,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21LE,captured official printable agenda
2021,EFMPL,Macro Perspectives,Philipp Kircher; Guido Menzio; Giuseppe Moscarini,3,1,1,200,12,1,0.08333333333333333,https://conference.nber.org/agenda/simple_printable?conf_id=SI21EFMPL,captured official printable agenda
2021,MPF,Macro Public Finance,Dirk Krueger; Aleh Tsyvinski; Florian Scheuer; Stefanie Stantcheva,4,1,1,200,6,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21MPF,captured official printable agenda
2021,EFMB,Macro Within and Across Borders,Mark A. Aguiar; Cristina Arellano; Patrick J. Kehoe; Mark L.J. Wright,4,1,1,200,5,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21EFMB,captured official printable agenda
2021,MEFM,"Macro, Money and Financial Markets",Markus K. Brunnermeier; Arvind Krishnamurthy; Guillermo Ordoñez,3,1,1,200,11,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21MEFM,captured official printable agenda
2021,PRMP,Macroeconomics and Productivity,Susanto Basu; Nicholas Bloom; Raffaella Sadun; Chad Syverson,4,1,1,200,6,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21PRMP,captured official printable agenda
2021,EFMM,Micro Data and Macro Models,Erik Hurst; Greg Kaplan; Giovanni L. Violante,3,1,1,200,9,1,0.1111111111111111,https://conference.nber.org/agenda/simple_printable?conf_id=SI21EFMM,captured official printable agenda
2021,ME,Monetary Economics,Emi Nakamura; Jón Steinsson,2,1,1,200,19,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21ME,captured official printable agenda
2021,PPL,Personnel Economics,Mitchell Hoffman; Kathryn L. Shaw,2,1,1,200,14,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21PPL,captured official printable agenda
2021,POL,Political Economy,Francesco Trebbi; Ebonya L. Washington,2,1,1,200,9,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21POL,captured official printable agenda
2021,PRPD,"Productivity, Development, and Entrepreneurship",Nicholas Bloom; Chang-Tai Hsieh; Tavneet Suri; Christopher Woodruff,4,1,1,200,6,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21PRPD,captured official printable agenda
2021,PE,Public Economics,Jeffrey Clemens; Peter Bergman; Louis Kaplow; Katherine Meckel; Monica Singhal; Owen M. Zidar,6,1,1,200,12,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21PE,captured official printable agenda
2021,REAL,Real Estate,Rebecca Diamond; Fernando V. Ferreira; Tomasz Piskorski,3,1,1,200,18,2,0.1111111111111111,https://conference.nber.org/agenda/simple_printable?conf_id=SI21REAL,captured official printable agenda
2021,RISK,Risks of Financial Institutions,Mark Carey; René M. Stulz,2,1,1,200,11,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21RISK,captured official printable agenda
2021,SIP,Science of Science Funding,Paula Stephan; Reinhilde Veugelers,2,1,1,200,7,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21PRSF,captured official printable agenda
2021,URB,Urban Economics,Edward L. Glaeser,1,1,1,200,35,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI21URB,captured official printable agenda
2022,AG,Aging,David M. Cutler; Kosali I. Simon; Jonathan S. Skinner,3,1,1,200,16,2,0.125,https://conference.nber.org/agenda/simple_printable?conf_id=SI22AG,captured official printable agenda
2022,AP,Asset Pricing,Ralph S. J. Koijen; Sydney C. Ludvigson,2,1,1,200,14,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI22AP,captured official printable agenda
2022,EFBEM,Behavioral Macro,Andrew Caplin; Michael Woodford,2,1,1,200,6,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI22EFBEM,captured official printable agenda
2022,HPC,Big Data and High-Performance Computing,Toni Whited; Mao Ye,2,1,1,200,8,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI22HPC,captured official printable agenda
2022,EFEL,Capital Markets and the Economy,Janice C. Eberly; Deborah J. Lucas,2,1,1,200,12,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI22EFEL,captured official printable agenda
2022,CH,Children,Janet Currie; Anna Aizer,2,1,1,200,21,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI22CH,captured official printable agenda
2022,CRIW,Conference on Research in Income and Wealth,Katharine G. Abraham; Susanto Basu; David M. Byrne,3,1,1,200,16,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI22PRCR,captured official printable agenda
2022,CF,Corporate Finance,Antoinette Schoar; Amir Sufi,2,1,1,200,12,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI22CF,captured official printable agenda
2022,DEV,Development Economics,Jishnu Das; Benjamin Faber; Eric V. Edmonds; Seema Jayachandran; Costas Meghir; Dilip Mookherjee; Melanie Morten; Tom Vogl,8,1,1,200,19,2,0.10526315789473684,https://conference.nber.org/agenda/simple_printable?conf_id=SI22DEV,captured official printable agenda
2022,DAE,Development of the American Economy,Katherine Eriksson; Martin Fiszbein; Christopher M. Meissner; Leah Platt Boustan; William J. Collins,5,1,1,200,31,1,0.03225806451612903,https://conference.nber.org/agenda/simple_printable?conf_id=SI22DAE,captured official printable agenda
2022,DEM,Dynamic Equilibrium Models,S. Borağan Aruoba; Jesús Fernández-Villaverde; Frank Schorfheide,3,1,1,200,8,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI22EFSF,captured official printable agenda
2022,EFEG,EFG Program Meeting,Mark Gertler; Peter J. Klenow,2,1,1,200,6,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=EFGs22,captured official printable agenda
2022,EFG,Economic Growth,Ufuk Akcigit; Francisco J. Buera; David Lagakos,3,1,1,200,12,1,0.08333333333333333,https://conference.nber.org/agenda/simple_printable?conf_id=SI22EFEG,captured official printable agenda
2022,CRI,Economics of Crime,Jens Ludwig; Crystal Yang,2,1,1,200,14,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI22CRI,captured official printable agenda
2022,ED,Economics of Education,Caroline M. Hoxby,1,1,1,200,6,1,0.16666666666666666,https://conference.nber.org/agenda/simple_printable?conf_id=SI22ED,captured official printable agenda
2022,PENS,Economics of National Security,Eli Berman,1,1,1,200,7,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI22PENS,captured official printable agenda
2022,PESS,Economics of Social Security,Alexander M. Gelber; James M. Poterba,2,1,1,200,6,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI22ESS,captured official printable agenda
2022,ENT,Entrepreneurship,Yael Hochberg; Josh Lerner; David T. Robinson,3,1,1,200,8,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI22PRENT,captured official printable agenda
2022,EEE,Environmental & Energy Economics,Meredith Fowlie; Koichiro Ito,2,1,1,200,22,1,0.045454545454545456,https://conference.nber.org/agenda/simple_printable?conf_id=SI22EEE,captured official printable agenda
2022,EFFE,Forecasting and Empirical Methods,Allan Timmermann; Jonathan H. Wright,2,1,1,200,16,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI22EFFE,captured official printable agenda
2022,GE,Gender in the Economy,Jessica Goldberg; Claudia Goldin; Claudia Olivetti; Manisha Shah,4,1,1,200,11,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI22GE,captured official printable agenda
2022,HC,Health Care,Amy Finkelstein; Matthew J. Notowidigdo; James B. Rebitzer; Amanda Starc; Heidi L. Williams,5,1,1,200,11,1,0.09090909090909091,https://conference.nber.org/agenda/simple_printable?conf_id=SI22HC,captured official printable agenda
2022,HE,Health Economics,Marianne Bitler; Christopher S. Carpenter; Marcus Dillender,3,1,1,200,10,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI22HE,captured official printable agenda
2022,HF,Household Finance,Adair Morse; Christopher Tonetti; Stephen P. Zeldes,3,1,1,200,15,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI22HF,captured official printable agenda
2022,IFMDS,IFM Data Sources,Galina Hale; Michael W. Klein,2,1,1,200,4,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI22IFMDS,captured official printable agenda
2022,PRIT,IT and Digitization,Erik Brynjolfsson; Avi Goldfarb; Catherine Tucker,3,1,1,200,28,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI22PRIT,captured official printable agenda
2022,IPM,Impulse and Propagation Mechanisms,Lawrence Christiano; Martin S. Eichenbaum,2,1,1,200,20,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI22EFCE,captured official printable agenda
2022,EFDIS,Income Distribution and Macroeconomics,Roland Bénabou; Raquel Fernández; Oded Galor,3,1,1,200,8,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI22EFDIS,captured official printable agenda
2022,IO,Industrial Organization,Vivek Bhattacharya; Michael Dinerstein; Gautam Gowrisankaran; Joel Waldfogel,4,1,1,200,13,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI22IO,captured official printable agenda
2022,PRINN,Innovation,Adam B. Jaffe; Benjamin Jones; Heidi L. Williams,3,1,1,200,11,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI22PRINN,captured official printable agenda
2022,IFM,International Finance & Macroeconomics,Galina Hale; Fabrizio Perri,2,1,1,200,12,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI22IFM,captured official printable agenda
2022,ITI,International Trade & Investment,Ina Simonovska; Pablo D. Fajgelbaum,2,1,1,200,15,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI22ITI,captured official printable agenda
2022,ITM,International Trade & Macroeconomics,Andrei A. Levchenko; Katheryn Russ,2,1,1,200,4,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI22ITM,captured official printable agenda
2022,LS,Labor Studies,Amanda Y. Agan; David Autor; Ellora Derenoncourt; Peter Hull; Patrick M. Kline; Alexandre Mas; Raffaele Saggio; Zoë B. Cullen,8,1,1,200,25,2,0.08,https://conference.nber.org/agenda/simple_printable?conf_id=SI22LS,captured official printable agenda
2022,LE,Law and Economics,Christine Jolls,1,1,1,200,11,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI22LE,captured official printable agenda
2022,EFMPL,Macro Perspectives,Philipp Kircher; Guido Menzio; Giuseppe Moscarini,3,1,1,200,18,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI22EFMPL,captured official printable agenda
2022,MPF,Macro Public Finance,Dirk Krueger; Florian Scheuer; Stefanie Stantcheva; Aleh Tsyvinski,4,1,1,200,8,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI22MPF,captured official printable agenda
2022,EFMB,Macro Within and Across Borders,Mark A. Aguiar; Cristina Arellano; Patrick J. Kehoe; Mark L.J. Wright,4,1,1,200,6,1,0.16666666666666666,https://conference.nber.org/agenda/simple_printable?conf_id=SI22EFMB,captured official printable agenda
2022,MEFM,"Macro, Money and Financial Frictions",Markus K. Brunnermeier; Arvind Krishnamurthy; Guillermo Ordoñez,3,1,1,200,9,0,0.0,https://conference.nber.org/agenda/simple_printable?conf_id=SI22MEFM,captured official printable agenda
