organizer_name,year,program_code,program_name,title,author_names,matched_organizer_name
Adair Morse,2023,HF,Household Finance,When Cryptomining Comes to Town,Matteo Benetton; Giovanni Compiani; Adair Morse,Adair Morse
Adair Morse,2024,HF,Household Finance,Auto Finance in the Electric Vehicle Transition,Elizabeth Klee; Adair Morse; Chaehee Shin,Adair Morse
Alexandre Mas,2022,LS,Labor Studies,Work Hours Mismatch,Marta Lachowska; Alexandre Mas; Raffaele Saggio; Stephen A. Woodbury,Alexandre Mas
Alexandre Mas,2026,LS,Labor Studies,The Labor Market as an Equilibrium Newsvendor Problem,Alexandre Mas,Alexandre Mas
Allan Timmermann,2026,EFFE,Forecasting and Empirical Methods,Gauging Hourly Economic Activity in Your Neighborhood,Fabrizio Ghezzi; Allan Timmermann; Max Yang,Allan Timmermann
Amir Sufi,2020,CF,Corporate Finance,The Saving Glut of the Rich and the Rise in Household Debt,Atif R. Mian; Ludwig Straub; Amir Sufi,Amir Sufi
Amy Finkelstein,2022,HC,Health Care,Targeting Precision Medicine: Evidence from Prenatal Testing,Peter Conner; Liran Einav; Amy Finkelstein; Petra Persson; Heidi L. Williams,Amy Finkelstein
Amy Finkelstein,2023,EH,Economics of Health,Lives vs. Livelihoods: The Impact of the Great Recession on Mortality and Welfare,Amy Finkelstein; Matthew J. Notowidigdo; Frank Schilbach; Jonathan Zhang,Amy Finkelstein
Anant Nyshadham,2023,DEV,Development Economics,"Spatial Mobility, Economic Opportunity, and Crime",Gaurav Khanna; Carlos Medina; Anant Nyshadham; Daniel Ramos; Jorge A. Tamayo; Audrey Tiew,Anant Nyshadham
Anders Humlum,2026,LS,Labor Studies,Integrators: The Firm Boundaries of Capital-Skill Complementarity,Gert Bijnens; Anders Humlum; Stijn Vanormelingen,Anders Humlum
Andrew Caplin,2026,EFBEM,Behavioral Macro,"Question-Driven Learning in the Age of AI: The Art, Science, and Business of Inquiry",Andrew Caplin,Andrew Caplin
Antoinette Schoar,2020,CF,Corporate Finance,The Role of Government and Private Institutions in Credit Cycles in the U.S. Mortgage Market,Manuel Adelino; William B. McCartney; Antoinette Schoar,Antoinette Schoar
Ashley Langer,2024,EEE,Environmental & Energy Economics,Energy Transitions in Regulated Markets,Gautam Gowrisankaran; Ashley Langer; Mar Reguant,Ashley Langer
Benjamin Faber,2022,DEV,Development Economics,Responsible Sourcing? Theory and Evidence from Costa Rica,Alonso Alfaro-Urena; Benjamin Faber; Cecile Gaubert; Isabela Manelici; Jose P. Vasquez,Benjamin Faber
Caroline M. Hoxby,2022,ED,Economics of Education,The Fork in the Road: The Economics and Neuroscience of Adolescent Education,Caroline M. Hoxby,Caroline M. Hoxby
Caroline M. Hoxby,2025,ED,Economics of Education,"Affirmative Action: Logic, Methods, and Evidence",Caroline M. Hoxby,Caroline M. Hoxby
Catherine Tucker,2026,PRIT,Digital Economics and Artificial Intelligence,Platform Governance and Automated Enforcement: Evidence from YouTube Content ID,Sverrir Arnórsson; Stefan Bechtold; Christian Peukert; Catherine Tucker,Catherine Tucker
