organizer_name,year,program_code,program_name,title,author_names,matched_organizer_name
Chenzi Xu,2025,IFMDS,IFM Data Session,The Global Macro Database: A New International Macroeconomic Dataset,Karsten Müller; Chenzi Xu; Mohamed Lehbib; Ziliang Chen,Chenzi Xu
Crystal Yang,2021,CRI,Economics of Crime,"The Impact of Criminal Records on Employment, Earnings, and Tax Outcomes",Amanda Y. Agan; Andrew Garin; Dmitri K. Koustas; Alexandre Mas; Crystal Yang,Crystal Yang
Crystal Yang,2026,CRI,Economics of Crime,The Role of Beliefs in Driving Racial Discrimination: Experimental Evidence from the U.S. Pretrial System,Will S. Dobbie; Crystal Yang,Crystal Yang
Danny Yagan,2020,PE,Public Economics,Place-Based Redistribution,Cecile Gaubert; Patrick M. Kline; Danny Yagan,Danny Yagan
David Autor,2021,LS,Labor Studies,"New Frontiers: The Origins and Content of New Work, 1940-2018",David Autor; Anna M. Salomons; Bryan Seegmiller,David Autor
David Autor,2026,LS,Labor Studies,An Experiment in Background Check Adjudication & Fair Chance Hiring,Amanda Y. Agan; David Autor; Emma Rackstraw,David Autor
David Autor,2026,LS,Labor Studies,Financial Consequences of College Financial Aid,Joshua Angrist; David Autor; Lucas Goodman; Amanda Pallais; Andrew Whitten,David Autor
David Lagakos,2022,EFG,Economic Growth,"Aggregate and Distributional Effects of ""Free"" Secondary Schooling in the Developing World",Junichi Fujimoto; David Lagakos; Mitchell Vanvuren,David Lagakos
David M. Byrne,2023,CRIW,Conference on Research in Income and Wealth,Transistors All the Way Down: Viability of Direct Volume Measurement (and Price Indexes) for Semiconductors,David M. Byrne; Adrian Hamins-Puertolas; Molly Harnish,David M. Byrne
David M. Cutler,2025,AG,Aging,Sources of Cognitive Improvements in the US Elderly Population,Graeme P. Peterson; David M. Cutler,David M. Cutler
David M. Cutler,2026,AG,Aging,The Economics of Chronic Disease,David M. Cutler; Ralph I. Lawton; Maria Polyakova,David M. Cutler
Dmitry Taubinsky,2020,PE,Public Economics,The Optimal Taxation of Lotteries: Who P(l)ays and Who Wins?,Hunt Allcott; Benjamin Lockwood; Dmitry Taubinsky,Dmitry Taubinsky
Eric Chyn,2023,PE,Public Economics,The Long-Run Effects of Residential Racial Desegregation Programs: Evidence from Gautreaux,Eric Chyn; Robert Collinson; Danielle Sandler,Eric Chyn
Erik Brynjolfsson,2020,PRIT,IT and Digitization,Advanced Technologies Adoption and Use by U.S. Firms: Evidence from the Annual Business Survey,Nikolas Zolas; Zachary Kroff; Erik Brynjolfsson; Kristina McElheran; David N. Beede; Cathy Buffington; Nathan Goldschlag; Lucia Foster; Emin Dinlersoz,Erik Brynjolfsson
Erik Brynjolfsson,2021,PRIT,IT and Digitization,"The Power of Prediction: Predictive Analytics, Workplace Complementarities, and Business Performance",Erik Brynjolfsson; Wang Jin; Kristina McElheran,Erik Brynjolfsson
Erik Brynjolfsson,2023,PRIT,Digital Economics and Artificial Intelligence,The Role of Advertisers and Platforms in Monetizing Misinformation: Descriptive and Experimental Evidence,Wajeeha Ahmad; Ananya Sen; Chuck Eesley; Erik Brynjolfsson,Erik Brynjolfsson
Erik Brynjolfsson,2024,PRIT,Digital Economics and Artificial Intelligence,The Digital Welfare of Nations: New Measures of Welfare Gains and Inequality,Erik Brynjolfsson; Avinash Collis; Asad Liaqat; Daley Kutzman; Haritz Garro; Daniel Deisenroth; Nils Wernerfelt; Jae Joon Lee,Erik Brynjolfsson
Erik Brynjolfsson,2025,PRIT,Digital Economics and Artificial Intelligence,The Rise of Industrial AI in America: Microfoundations of the Productivity J-Curve(s),Kristina McElheran; Mu-Jeung Yang; Zachary Kroff; Erik Brynjolfsson,Erik Brynjolfsson
Erik Hurst,2021,EFMM,Micro Data and Macro Models,The Effects of the Minimum Wage in the Short Run and in the Long Run,Erik Hurst; Patrick J. Kehoe; Elena Pastorino; Thomas Winberry,Erik Hurst
Erik Hurst,2025,EFMM,Micro Data and Macro Models,A Theory of How Workers Keep Up With Inflation,Hassan Afrouzi; Andrés Blanco; Andrés Drenik; Erik Hurst,Erik Hurst
Erik Hurst,2026,EFMM,Micro Data and Macro Models,Sticky Wage Norms and the Real Wage Cost of Inflation,Erik Hurst; Christina Patterson; Nela Thomas Richardson; Liv Wang,Erik Hurst
Fernando V. Ferreira,2020,REAL,Real Estate,"Neighborhood Choice, Information, and the Value of Amenities",Fernando V. Ferreira; Maisy Wong,Fernando V. Ferreira
Fernando V. Ferreira,2021,REAL,Real Estate,Estimating the Economic Value of Zoning Reform,Santosh Anagol; Fernando V. Ferreira; Jonah M. Rexer,Fernando V. Ferreira
Florian Scheuer,2025,MPF,Macro Public Finance,Putting the 'Finance' into 'Public Finance': A Theory of Capital Gains Taxation,Mark A. Aguiar; Benjamin Moll; Florian Scheuer,Florian Scheuer
Francisco J. Buera,2024,EFG,Economic Growth,The Life-Cycle of Concentrated Industries,Martin Beraja; Francisco J. Buera,Francisco J. Buera
Giovanni L. Violante,2022,EFMM,Micro Data and Macro Models,The Marginal Propensity to Consume in Heterogeneous Agent Models,Greg Kaplan; Giovanni L. Violante,Giovanni L. Violante
Greg Kaplan,2022,EFMM,Micro Data and Macro Models,The Marginal Propensity to Consume in Heterogeneous Agent Models,Greg Kaplan; Giovanni L. Violante,Greg Kaplan
Guido Menzio,2021,EFMPL,Macro Perspectives,The Alpha Beta Gamma of the Labor Market,Victoria Gregory; Guido Menzio; David G. Wiczer,Guido Menzio
Heidi L. Williams,2022,HC,Health Care,Targeting Precision Medicine: Evidence from Prenatal Testing,Peter Conner; Liran Einav; Amy Finkelstein; Petra Persson; Heidi L. Williams,Heidi L. Williams
Isaac Sorkin,2021,LS,Labor Studies,Firms and Unemployment Insurance Take-Up,Marta Lachowska; Isaac Sorkin; Stephen A. Woodbury,Isaac Sorkin
Itzik Fadlon,2025,PE,Public Economics,The Racial Penalty in Job Ladder Transitions,Itzik Fadlon; Briana Sullivan; Vedant Vohra,Itzik Fadlon
James J. Feigenbaum,2026,DAE,Development of the American Economy,Immigration Restrictions and Natives' Intergenerational Mobility: Evidence from the 1920s US Quota Acts,James J. Feigenbaum; Yi-Ju Hung; Marco Tabellini; Monia Tomasella,James J. Feigenbaum
Janet Currie,2025,CH,Children and Families,Teen Suicide and the Outcomes of Surviving Peers,Emily Cuddy; Janet Currie; Elisa Jácome; Lucy Manly,Janet Currie
Jeffrey Clemens,2020,PE,Public Economics,"Demand Shocks, Procurement Policies, and the Nature of Medical Innovation: Evidence from Wartime Prosthetic Device Patents",Jeffrey Clemens; Parker Rogers,Jeffrey Clemens
Jens Ludwig,2026,CRI,Economics of Crime,Predicting Police Misconduct,Dylan Fitzpatrick; Jens Ludwig; Anuj Shah; Gregory Stoddard,Jens Ludwig
Jonathan S. Skinner,2022,AG,Aging,Dementia and Long-run Trajectories in Household Finances,Jing Li; Amy Kelley; Kathleen M. McGarry; Lauren H. Nicholas; Jonathan S. Skinner,Jonathan S. Skinner
Joseph S. Shapiro,2024,EEE,Environmental & Energy Economics,The Effects of “Buy American”: Electric Vehicles and the Inflation Reduction Act,Hunt Allcott; Joseph S. Shapiro; Felix Tintelnot,Joseph S. Shapiro
Katherine Eriksson,2022,DAE,Development of the American Economy,Labor Market Scarring in the Very Long Run: Evidence from Large-Scale Longitudinal Microdata,Vellore Arthi; Katherine Eriksson; Gary Richardson,Katherine Eriksson
Kathryn L. Shaw,2022,PPL,Personnel Economics,The Value of Managers,Ann P. Bartel; James M. Jedras; Elena Pastorino; Kathryn L. Shaw,Kathryn L. Shaw
Kosali I. Simon,2022,AG,Aging,The Effects of Access to Health Insurance before Age 65 on Utilization and Outcomes Among Medicare Beneficiaries,Kate Bundorf; Melissa McInerney; Kosali I. Simon; Ruth Lipscomb Winecoff,Kosali I. Simon
Kosali I. Simon,2026,AG,Aging,Association Between Documented Dementia Diagnosis and Caregiver Mental Health Among Medicare Enrollees,Jennifer L. Carnahan; Christopher Dunphy; Kosali I. Simon; Timothy Layton; Richard F. Meraz; Malaz Boustani,Kosali I. Simon
Laura Alfaro,2020,ITI,International Trade & Investment,"Aggregate and Firm-Level Stock Returns During Pandemics, in Real Time",Laura Alfaro; Anusha Chari; Andrew N. Greenland; Peter K. Schott,Laura Alfaro
Leah Platt Boustan,2024,DAE,Development of the American Economy,Finding John Smith: Using Extra Information for Historical Record Linkage,Ran Abramitzky; Leah Platt Boustan; Harriet M. Brookes Gray; Katherine Eriksson; Santiago Pérez; Myera Rashid,Leah Platt Boustan
Lint Barrage,2026,EEE,Environmental & Energy Economics,Green AI in Industry: Quasi-Experimental Evidence from the Water Treatment Sector,Mathias Abitbol; Philippe Aghion; Céline Antonin; Lint Barrage; Benjamin Lengereau,Lint Barrage
Lisa B. Kahn,2026,LS,Labor Studies,Gender Targeting before Civil Rights and Long-Run Employment,Enghin Atalay; Lisa B. Kahn; Russell Weinstein,Lisa B. Kahn
Lorenzo Lagos,2026,LS,Labor Studies,What Do (Thousands of) Union Do? Union-Specific Pay Premia and Inequality,Ellora Derenoncourt; François Gerard; Lorenzo Lagos; Claire Montialoux,Lorenzo Lagos
Maria Polyakova,2024,EH,Economics of Health,The Economics of Infertility: Evidence from Reproductive Medicine,Sarah Boegl; Jasmin Moshfegh; Petra Persson; Maria Polyakova,Maria Polyakova
Maria Polyakova,2024,PE,Public Economics,Health Insurance as Economic Stimulus? Evidence from Long-Term Care Jobs,Martin B. Hackmann; Jörg Heining; Roman Klimke; Maria Polyakova; Holger Seibert,Maria Polyakova
Mark A. Aguiar,2025,EFMB,Macro Within and Across Borders,How Good is International Risk Sharing? Stepping outside the Shadow of the Welfare Theorems,Mark A. Aguiar; Oleg Itskhoki; Dmitry Mukhin,Mark A. Aguiar
Mark A. Aguiar,2026,EFMB,Macro Within and Across Borders,Tariff Wars and Net Foreign Assets,Mark A. Aguiar; Manuel Amador; Doireann Fitzgerald,Mark A. Aguiar
Mark L.J. Wright,2022,EFMB,Macro Within and Across Borders,The Consequences of Bretton Woods' International Capital Controls and the High Value of Geopolitical Stability,Lee E. Ohanian; Paulina Restrepo-Echavarria; Diana Van Patten; Mark L.J. Wright,Mark L.J. Wright
Meredith Fowlie,2022,EEE,Environmental & Energy Economics,Property Insurance Markets and the Distribution of Climate Change Risk,Judson Boomhower; Meredith Fowlie; Jacob Gellman; Andrew Plantinga,Meredith Fowlie
Michael Grossman,2020,HE,Health Economics,Fifty-Four Years at the NBER and Still Hanging in There,Michael Grossman,Michael Grossman
Mitchell Hoffman,2023,PPL,Personnel Economics,Is This Really Kneaded? Identifying and Eliminating Potentially Harmful Forms of Workplace Control,Guido Friebel; Matthias Heinz; Mitchell Hoffman; Tobias Kretschmer; Nick Zubanov,Mitchell Hoffman
Mitchell Hoffman,2026,PPL,Personnel Economics,Empowering Inclusive Work,Yanyou Chen; Mitchell Hoffman; Huilan Xu; Zhe Yuan,Mitchell Hoffman
Molly Schnell,2026,EH,Economics of Health,Quality in the Generic Drug Market,Emily Cuddy; Molly Schnell,Molly Schnell
Pamela Jakiela,2024,GE,Gender in the Economy,Gendered Language,Pamela Jakiela; Owen Ozier,Pamela Jakiela
Pascual Restrepo,2025,LS,Labor Studies,"Automation and Rent-Dissipation: Implications for Wages, Inequality and Productivity",Daron Acemoglu; Pascual Restrepo,Pascual Restrepo
Patrick J. Kehoe,2024,EFMB,Macro Within and Across Borders,World Financial Cycles,Yan Bai; Patrick J. Kehoe; Pierlauro Lopez; Fabrizio Perri,Patrick J. Kehoe
Patrick J. Kehoe,2026,EFMB,Macro Within and Across Borders,Fiscal and Monetary Unions,Rafael Berriel; Eugenia Gonzalez-Aguado; Patrick J. Kehoe; Elena Pastorino,Patrick J. Kehoe
Patrick M. Kline,2021,LS,Labor Studies,Systemic Discrimination Among Large U.S. Employers,Patrick M. Kline; Evan K. Rose; Christopher R. Walters,Patrick M. Kline
Paul J. Eliason,2025,EH,Economics of Health,Competition and Fraud in Health Care,Renuka M. Diwan; Paul J. Eliason; Riley League; Jetson Leder-Luis; Ryan C. McDevitt; James W. Roberts,Paul J. Eliason
Paul Niehaus,2020,DEV,Development Economics,Some Effects of Universal Basic Income During a Pandemic,Abhijit Banerjee; Michael Faye; Paul Niehaus; Tavneet Suri,Paul Niehaus
Peter J. Klenow,2026,EFEG,EFG Program Meeting,Misallocation versus Inequality,Chang-Tai Hsieh; Peter J. Klenow; Emmanuella Kyei Manu; Emma J. Rockall,Peter J. Klenow
Philipp Kircher,2023,EFMPL,Aggregate Labor Market,Updating about Yourself by Learning about the Market: The Dynamics of Beliefs and Expectations in Job Search,Qiwei He; Philipp Kircher,Philipp Kircher
Philipp Kircher,2026,EFMPL,Aggregate Labor Market,Advising Job Seekers in Occupations with Poor Prospects: A Field Experiment,Michèle Belot; Bart K. de Koning; Didier Fouarge; Philipp Kircher; Paul Muller; Sandra Phlippen,Philipp Kircher
Raffaele Saggio,2022,LS,Labor Studies,Work Hours Mismatch,Marta Lachowska; Alexandre Mas; Raffaele Saggio; Stephen A. Woodbury,Raffaele Saggio
Raffaele Saggio,2026,LS,Labor Studies,The Consequences of Labor Demand Shocks Across Countries,Stefano Lombardi; Antoine Bertheau; Raffaele Saggio; Oona Tuominen; Edoardo Maria Acabbi; Andreas Gulyas; Marco Palladino; Tobias Renkin; Salvatore Lattanzio,Raffaele Saggio
Raj Chetty,2023,PE,Public Economics,"Growing Class Gaps, Shrinking Race Gaps: Economic and Sociological Mechanisms Underlying Recent Trends in Intergenerational Mobility",Raj Chetty; Will S. Dobbie; Benjamin Goldman; Sonya Porter; Crystal Yang,Raj Chetty
Raj Chetty,2025,PE,Public Economics,Creating High-Opportunity Neighborhoods: Evidence from the HOPE VI Program,Raj Chetty; Rebecca Diamond; Brad Foster; Lawrence F. Katz; Sonya Porter; Matthew Staiger; Laura Tach,Raj Chetty
Raj Chetty,2026,PE,Public Economics,Creating New Businesses in America: The Determinants of and Returns to Entrepreneurship,Raj Chetty; Gaia Dossi; Matthew Smith; John Van Reenen; Owen M. Zidar; Eric Zwick,Raj Chetty
Rebecca Diamond,2026,URB,Urban Economics,Creating High-Opportunity Neighborhoods: Evidence from the HOPE VI Program,Raj Chetty; Rebecca Diamond; Thomas B. Foster; Lawrence F. Katz; Sonya Porter; Matthew Staiger; Laura Tach,Rebecca Diamond
Reinhilde Veugelers,2023,SIP,Science of Science Funding,Tracing the Endless Scientific Frontier in Publication Text,Sam Arts; Nicola Melluso; Reinhilde Veugelers,Reinhilde Veugelers
Reinhilde Veugelers,2026,SIP,Science of Science Funding,US Science Cuts: The Cost Through Innovation Spillovers,Antoine Mathieu Collin; Dennis Verhoeven; Reinhilde Veugelers,Reinhilde Veugelers
Seema Jayachandran,2022,DEV,Development Economics,Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,Kelsey Jack; Seema Jayachandran; Namrata Kala; Rohini Pande,Seema Jayachandran
Seema Jayachandran,2025,DEV,Development Economics,Escaping Patriarchy: Familial Insularity and Gender Attitudes in Oman,Erica M. Field; Seema Jayachandran; Munir Squires,Seema Jayachandran
Simon Jäger,2021,LS,Labor Studies,Worker Beliefs about Rents and Outside Options,Simon Jäger; Christopher P. Roth; Nina Roussille; Benjamin Schoefer,Simon Jäger
Stephen J. Redding,2020,ITI,International Trade & Investment,Globalization and Pandemics,Pol Antràs; Stephen J. Redding; Esteban Rossi-Hansberg,Stephen J. Redding
Stephen J. Redding,2021,ITI,International Trade & Investment,Sufficient Statistics for Dynamic Spatial Economics,Ernest Liu; Benny Kleinman; Stephen J. Redding,Stephen J. Redding
Sydnee Caldwell,2024,LS,Labor Studies,Firm Wages and Worker Search,Sydnee Caldwell; Ingrid Haegele; Jörg Heining,Sydnee Caldwell
Tamma Carleton,2023,EEE,Environmental & Energy Economics,The Climate Adaptation Feedback,Alexander Cassi Abajian; Tamma Carleton; Olivier Deschenes; Kyle C. Meng,Tamma Carleton
Tatiana Homonoff,2024,PE,Public Economics,Work Requirements and Child Tax Benefits: Evidence from California,Jacob Goldin; Tatiana Homonoff; Neel A. Lal; Ithai Lurie; Katherine Michelmore; Matt Unrath,Tatiana Homonoff
Tomasz Piskorski,2020,REAL,Real Estate,iBuyers: Liquidity in Real Estate Markets?,Greg Buchak; Gregor Matvos; Tomasz Piskorski; Amit Seru,Tomasz Piskorski
Tomasz Piskorski,2021,REAL,Real Estate,Government and Private Household Debt Relief during COVID-19,Susan Cherry; Erica Xuewei Jiang; Gregor Matvos; Tomasz Piskorski; Amit Seru,Tomasz Piskorski
Tomasz Piskorski,2025,REAL,Real Estate,"NAR Settlement, House Prices, and Consumer Welfare",Greg Buchak; Gregor Matvos; Tomasz Piskorski; Amit Seru,Tomasz Piskorski
Ufuk Akcigit,2020,EFG,Economic Growth,Tapping into Talent: Coupling Education and Innovation Policies for Economic Growth,Ufuk Akcigit; Marta Prato; Jeremy G. Pearce,Ufuk Akcigit
Ufuk Akcigit,2023,EFG,Economic Growth,Committing to Grow: Privatizations and Firm Dynamics in East Germany,Ufuk Akcigit; Harun Alp; André Diegmann; Nicolas Serrano-Velarde,Ufuk Akcigit
Ulrike Malmendier,2026,EFBEM,Behavioral Macro,Seemingly Anchored Inflation Expectations,Ulrike Malmendier; Stefan Nagel,Ulrike Malmendier
Yael Hochberg,2021,ENT,Entrepreneurship,Rugged Entrepreneurs: The Geographic and Cultural Contours of New Business Formation,John M. Barrios; Yael Hochberg; Daniele Macciocchi,Yael Hochberg
Zoë B. Cullen,2022,LS,Labor Studies,What’s My Employee Worth? The Effects of Salary Benchmarking,Zoe B. Cullen; Shengwu Li; Ricardo Perez-Truglia,Zoë B. Cullen
Zoë B. Cullen,2025,LS,Labor Studies,Pushing the Envelope: Effects of Salary Negotiations,Zoe B. Cullen; Bobak Pakzad-Hurson; Ricardo Perez-Truglia,Zoë B. Cullen
