program_code,trend_raw,se,tstat_raw,trend_per_year,program_name
PRTC,0.04246102994668806,0.008183076279330145,5.188883556412828,0.04589952194065177,Productivity and Technical Change
PRBC,0.027789735423310234,0.0008694878933091115,31.961037798407514,0.031228227417273945,Health-Care Information Technology
GFC,0.015242591612868981,0.0008905173967947592,17.11655681037975,0.018681083606832693,Global Financial Crisis
EE,0.012123109200785775,0.0015151526193394568,8.001246241498064,0.015561601194749487,Environmental Economics
SD,0.011104660578386239,0.0008905173967947337,12.469897408355614,0.01454315257234995,Sovereign Debt
EFBEM,0.010622148278860776,0.001007923007581473,10.538650471278345,0.014060640272824488,Behavioral Macro
HY,0.009608825209684695,0.0006032247947738191,15.929095244315267,0.013047317203648406,Economics of Hydrocarbon Infrastructure and Transportation
SAV,0.007882813030145862,0.004182505034639342,1.884710948309856,0.011321305024109574,Saving
AMRE,0.007518085171768055,0.01667520587575521,0.45085411405318354,0.010956577165731767,Asset Markets and Real Estate
PRIO,0.0066455148583171916,0.0037480222456430434,1.7730724160035045,0.010084006852280903,Industrial Organization and Productivity
IFMDS,0.005286960032713167,0.0010867122547970867,4.865096541770718,0.008725452026676878,IFM Data Session
SWB,0.005192820795766765,0.0006899350888061039,7.526535292983382,0.008631312789730476,Subjective Well-Being
EFEG,0.0032239583424739696,0.0014565563200128846,2.2134113855930067,0.006662450336437681,EFG Program Meeting
LS,0.0027526853654789183,0.000532132709904299,5.1729302000134005,0.006191177359442629,Labor Studies
HC,0.0021099051920242477,0.0005541300583416569,3.8075992454525087,0.0055483971859879595,Health Care
PE,0.0018127194839330273,0.0004791188356108145,3.7834444175463164,0.005251211477896738,Public Economics
SF,0.0017239112046273306,0.0006374234089180383,2.704499364956639,0.005162403198591042,Sustainable Finance
HFC,0.0014494881645931586,0.0008905173967947271,1.6276921369648207,0.00488798015855687,Household Finance and Consumption
EFG,0.0013124275686482033,0.0005127652634899578,2.5595095106786743,0.004750919562611915,Economic Growth and Long-Run Macroeconomic Development
EFPD,0.0008167581197212771,0.001228333186268856,0.6649320631010828,0.004255250113684989,Price Dynamics
PRBB,0.0007265895372606606,0.0011224730373087983,0.6473113501262409,0.004165081531224372,Productivity and Business Cycles
PENS,0.0005673773530900988,0.000584742129538836,0.9703035311267342,0.00400586934705381,Economics of National Security
ITI,0.00042518060195165214,0.0005078562232786593,0.8372066393254705,0.0038636725959153633,International Trade & Investment
PEC,-4.175033179430136e-16,3.453579147054522e-16,-1.2089003904806774,0.0034384919939632937,Public Economics: Corporate Taxation
CCDF,-7.014800857131562e-16,3.7921914946901687e-16,-1.8498013264767075,0.0034384919939630097,Currency Crises: Diagnosis and Frameworks
CCEF,-8.051889188614254e-16,5.758837642602284e-16,-1.3981795786442406,0.003438491993962906,Currency Crises: Exchange Rates and Financial Issues
CF,-8.28989450345668e-05,0.0004994056085292356,-0.1659952223578479,0.0033555930489291446,Corporate Finance
EFMB,-8.818623893943971e-05,0.0008959060821452851,-0.09843245926880419,0.003350305755024272,Macro Within and Across Borders
EFJK,-0.0005694315767021138,0.0008605640131764422,-0.6616957808870898,0.0028690604172615973,Economic Fluctuations and Growth Workshop
AP,-0.0006775479188766119,0.0005096487049245036,-1.3294410685826819,0.0027609440750870993,Asset Pricing
HE,-0.0008481215961024934,0.0006065604065326365,-1.3982475396815397,0.0025903703978612178,Health Economics
PRB,-0.0008781291743433079,0.0010102851444420715,-0.8691894354521599,0.0025603628196204037,Productivity and Business
EFMM,-0.0009361513939973335,0.0014487016346216304,-0.6462002745250136,0.002502340599966378,Micro Data and Macro Models
ME,-0.0009397895778377457,0.0005066355639300288,-1.8549617214940313,0.0024987024161259655,Monetary Economics
IFM,-0.000965675875313652,0.0005107382793608983,-1.8907450534587507,0.0024728161186500595,International Finance & Macroeconomics
HF,-0.0011049058536513083,0.0007684823789678015,-1.4377764329943115,0.002333586140312403,Household Finance
ITM,-0.0011919970448125948,0.0007326258639280095,-1.6270201524440375,0.0022464949491511166,International Trade & Macroeconomics
PRINN,-0.0013175618638497817,0.0005861244459164825,-2.247921705073401,0.0021209301301139297,Innovation
PPL,-0.0016164922046823875,0.0005558599094360969,-2.9080928076325385,0.0018219997892813238,Personnel Economics
PRIPE,-0.001665950047350051,0.000789391700820792,-2.1104225514631496,0.0017725419466136604,"Productivity, Innovation, and the Economy"
MEFM,-0.0017435422803146856,0.0007715512261084966,-2.259788101314619,0.0016949497136490258,"Macro, Money and Financial Frictions"
IAP,-0.0017463579880135148,0.0008799149474377816,-1.9846895351632823,0.0016921340059501966,International Asset Pricing
AG,-0.001778243895816045,0.0005204962143040537,-3.41643963384768,0.0016602480981476664,Aging
EFCE,-0.0017811224211823874,0.0006262606049856017,-2.8440594969618713,0.001657369572781324,Economic Fluctuations and Growth: Consumption and the Economy
PRIT,-0.0017937744459948536,0.0007605541078890859,-2.358509969755427,0.0016447175479688578,Digital Economics and Artificial Intelligence
CH,-0.0018991055571146763,0.000538883743084285,-3.52414705673844,0.001539386436849035,Children and Families
EFFE,-0.001934125079730233,0.0004914111693861209,-3.935859012212471,0.0015043669142334785,Forecasting and Empirical Methods
EFEL,-0.002315498235177,0.0006003712459833648,-3.85677737011602,0.0011229937587867115,Capital Markets and the Economy
IO,-0.0023430701532039726,0.0004899002995118428,-4.782748970634854,0.0010954218407597388,Industrial Organization
DEV,-0.00249475002353251,0.0008947557517676819,-2.788191099754179,0.0009437419704312012,Development Economics
POL,-0.002519894787190268,0.0006796540478315162,-3.7076138886101955,0.0009185972067734436,Political Economy
PEPF,-0.0025629532578783157,0.0013351497296251655,-1.9195998778338126,0.0008755387360853957,Public Economics and Public Finance
URB,-0.002587672865034984,0.0008948849189153855,-2.8916264095402164,0.0008508191289287276,Urban Economics
CRI,-0.00264846874722256,0.0007054178626994872,-3.7544679363341067,0.0007900232467411513,Economics of Crime
DAE,-0.0029822814647636297,0.0005151568933855391,-5.789074169549577,0.0004562105292000816,Development of the American Economy
EEE,-0.0030348780625842906,0.0006996530071693918,-4.337690300028284,0.0004036139313794208,Environmental & Energy Economics
ED,-0.0033744023511606703,0.0005631707333119928,-5.991792810886843,6.408964280304108e-05,Economics of Education
PESS,-0.0033853726387198246,0.0004784450255170507,-7.075781872873036,5.3119355243886734e-05,Economics of Social Security
FMS,-0.003564416146856185,0.0006965279753757869,-5.11740557862465,-0.00012592415289247377,Financial Market Structure
