year,program_code,program_name,organizer_name,organizer_name_normalized,agenda_captured,papers_total,source_url
2024,EFDIS,Inequality and the Macroeconomy,Jonathan Heathcote,jonathan heathcote,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFDIS
2024,PRINN,Innovation,Adam B. Jaffe,adam b jaffe,1,11,https://conference.nber.org/agenda/simple_printable?conf_id=SI24PRINN
2024,PRINN,Innovation,Benjamin Jones,benjamin jones,1,11,https://conference.nber.org/agenda/simple_printable?conf_id=SI24PRINN
2024,PRINN,Innovation,Heidi L. Williams,heidi l williams,1,11,https://conference.nber.org/agenda/simple_printable?conf_id=SI24PRINN
2024,IEG,International Economics and Geopolitics,Matteo Maggiori,matteo maggiori,1,7,https://conference.nber.org/agenda/simple_printable?conf_id=SI24IEG
2024,IEG,International Economics and Geopolitics,Jesse Schreger,jesse schreger,1,7,https://conference.nber.org/agenda/simple_printable?conf_id=SI24IEG
2024,IFM,International Finance & Macroeconomics,Stephanie Schmitt-Grohé,stephanie schmitt-grohe,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI24IFM
2024,IFM,International Finance & Macroeconomics,Pablo Ottonello,pablo ottonello,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI24IFM
2024,ITI,International Trade & Investment,Cécile Gaubert,cecile gaubert,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI24ITI
2024,ITI,International Trade & Investment,Oleg Itskhoki,oleg itskhoki,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI24ITI
2024,ITM,International Trade & Macroeconomics,Yan Bai,yan bai,1,4,https://conference.nber.org/agenda/simple_printable?conf_id=SI24ITM
2024,ITM,International Trade & Macroeconomics,Javier Cravino,javier cravino,1,4,https://conference.nber.org/agenda/simple_printable?conf_id=SI24ITM
2024,LS,Labor Studies,David Autor,david autor,1,35,https://conference.nber.org/agenda/simple_printable?conf_id=SI24LS
2024,LS,Labor Studies,Sydnee Caldwell,sydnee caldwell,1,35,https://conference.nber.org/agenda/simple_printable?conf_id=SI24LS
2024,LS,Labor Studies,Andrew Garin,andrew garin,1,35,https://conference.nber.org/agenda/simple_printable?conf_id=SI24LS
2024,LS,Labor Studies,Patrick M. Kline,patrick m kline,1,35,https://conference.nber.org/agenda/simple_printable?conf_id=SI24LS
