year,program_code,program_name,organizer_name,organizer_name_normalized,agenda_captured,papers_total,source_url
2023,IO,Industrial Organization,Kevin R. Williams,kevin r williams,1,14,https://conference.nber.org/agenda/simple_printable?conf_id=SI23IO
2023,EFDIS,Inequality and the Macroeconomy,Roland Bénabou,roland benabou,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI23EFDIS
2023,EFDIS,Inequality and the Macroeconomy,Raquel Fernández,raquel fernandez,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI23EFDIS
2023,EFDIS,Inequality and the Macroeconomy,Jonathan Heathcote,jonathan heathcote,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI23EFDIS
2023,PRINN,Innovation,Adam B. Jaffe,adam b jaffe,1,11,https://conference.nber.org/agenda/simple_printable?conf_id=SI23PRINN
2023,PRINN,Innovation,Benjamin Jones,benjamin jones,1,11,https://conference.nber.org/agenda/simple_printable?conf_id=SI23PRINN
2023,PRINN,Innovation,Heidi L. Williams,heidi l williams,1,11,https://conference.nber.org/agenda/simple_printable?conf_id=SI23PRINN
2023,IAP,International Asset Pricing,Karen K. Lewis,karen k lewis,1,9,https://conference.nber.org/agenda/simple_printable?conf_id=SI23IAP
2023,IAP,International Asset Pricing,Adrien Verdelhan,adrien verdelhan,1,9,https://conference.nber.org/agenda/simple_printable?conf_id=SI23IAP
2023,IFM,International Finance & Macroeconomics,Fabrizio Perri,fabrizio perri,1,11,https://conference.nber.org/agenda/simple_printable?conf_id=SI23IFM
2023,IFM,International Finance & Macroeconomics,Stephanie Schmitt-Grohé,stephanie schmitt-grohe,1,11,https://conference.nber.org/agenda/simple_printable?conf_id=SI23IFM
2023,ITI,International Trade & Investment,Oleg Itskhoki,oleg itskhoki,1,14,https://conference.nber.org/agenda/simple_printable?conf_id=SI23ITI
2023,ITI,International Trade & Investment,Ina Simonovska,ina simonovska,1,14,https://conference.nber.org/agenda/simple_printable?conf_id=SI23ITI
2023,ITM,International Trade & Macroeconomics,Javier Cravino,javier cravino,1,4,https://conference.nber.org/agenda/simple_printable?conf_id=SI23ITM
2023,ITM,International Trade & Macroeconomics,Katheryn Russ,katheryn russ,1,4,https://conference.nber.org/agenda/simple_printable?conf_id=SI23ITM
2023,LS,Labor Studies,David Autor,david autor,1,27,https://conference.nber.org/agenda/simple_printable?conf_id=SI23LS
2023,LS,Labor Studies,Rebecca Diamond,rebecca diamond,1,27,https://conference.nber.org/agenda/simple_printable?conf_id=SI23LS
2023,LS,Labor Studies,Patrick M. Kline,patrick m kline,1,27,https://conference.nber.org/agenda/simple_printable?conf_id=SI23LS
2023,LS,Labor Studies,Brian K. Kovak,brian k kovak,1,27,https://conference.nber.org/agenda/simple_printable?conf_id=SI23LS
2023,LS,Labor Studies,Alexandre Mas,alexandre mas,1,27,https://conference.nber.org/agenda/simple_printable?conf_id=SI23LS
2023,LS,Labor Studies,Melvin Stephens,melvin stephens,1,27,https://conference.nber.org/agenda/simple_printable?conf_id=SI23LS
2023,LS,Labor Studies,Lowell Taylor,lowell taylor,1,27,https://conference.nber.org/agenda/simple_printable?conf_id=SI23LS
2023,LS,Labor Studies,Winnie van Dijk,winnie van dijk,1,27,https://conference.nber.org/agenda/simple_printable?conf_id=SI23LS
2023,LE,Law and Economics,Christine Jolls,christine jolls,1,9,https://conference.nber.org/agenda/simple_printable?conf_id=SI23LE
2023,MPF,Macro Public Finance,Dirk Krueger,dirk krueger,1,8,https://conference.nber.org/agenda/simple_printable?conf_id=SI23MPF
2023,MPF,Macro Public Finance,Florian Scheuer,florian scheuer,1,8,https://conference.nber.org/agenda/simple_printable?conf_id=SI23MPF
2023,MPF,Macro Public Finance,Stefanie Stantcheva,stefanie stantcheva,1,8,https://conference.nber.org/agenda/simple_printable?conf_id=SI23MPF
2023,MPF,Macro Public Finance,Aleh Tsyvinski,aleh tsyvinski,1,8,https://conference.nber.org/agenda/simple_printable?conf_id=SI23MPF
2023,EFMB,Macro Within and Across Borders,Mark A. Aguiar,mark a aguiar,1,6,https://conference.nber.org/agenda/simple_printable?conf_id=SI23EFMB
2023,EFMB,Macro Within and Across Borders,Cristina Arellano,cristina arellano,1,6,https://conference.nber.org/agenda/simple_printable?conf_id=SI23EFMB
2023,EFMB,Macro Within and Across Borders,Patrick J. Kehoe,patrick j kehoe,1,6,https://conference.nber.org/agenda/simple_printable?conf_id=SI23EFMB
2023,EFMB,Macro Within and Across Borders,Mark L.J. Wright,mark l j wright,1,6,https://conference.nber.org/agenda/simple_printable?conf_id=SI23EFMB
2023,MEFM,"Macro, Money and Financial Frictions",Markus K. Brunnermeier,markus k brunnermeier,1,9,https://conference.nber.org/agenda/simple_printable?conf_id=SI23MEFM
2023,MEFM,"Macro, Money and Financial Frictions",Arvind Krishnamurthy,arvind krishnamurthy,1,9,https://conference.nber.org/agenda/simple_printable?conf_id=SI23MEFM
2023,MEFM,"Macro, Money and Financial Frictions",Guillermo Ordoñez,guillermo ordonez,1,9,https://conference.nber.org/agenda/simple_printable?conf_id=SI23MEFM
2023,PRMP,Macroeconomics and Productivity,Susanto Basu,susanto basu,1,7,https://conference.nber.org/agenda/simple_printable?conf_id=SI23PRMP
2023,PRMP,Macroeconomics and Productivity,Nicholas Bloom,nicholas bloom,1,7,https://conference.nber.org/agenda/simple_printable?conf_id=SI23PRMP
2023,PRMP,Macroeconomics and Productivity,Raffaella Sadun,raffaella sadun,1,7,https://conference.nber.org/agenda/simple_printable?conf_id=SI23PRMP
2023,PRMP,Macroeconomics and Productivity,Chad Syverson,chad syverson,1,7,https://conference.nber.org/agenda/simple_printable?conf_id=SI23PRMP
2023,EFMM,Micro Data and Macro Models,Erik Hurst,erik hurst,1,16,https://conference.nber.org/agenda/simple_printable?conf_id=SI23EFMM
2023,EFMM,Micro Data and Macro Models,Greg Kaplan,greg kaplan,1,16,https://conference.nber.org/agenda/simple_printable?conf_id=SI23EFMM
2023,EFMM,Micro Data and Macro Models,Giovanni L. Violante,giovanni l violante,1,16,https://conference.nber.org/agenda/simple_printable?conf_id=SI23EFMM
2023,ME,Monetary Economics,Emi Nakamura,emi nakamura,1,16,https://conference.nber.org/agenda/simple_printable?conf_id=SI23ME
2023,ME,Monetary Economics,Jón Steinsson,jon steinsson,1,16,https://conference.nber.org/agenda/simple_printable?conf_id=SI23ME
