program_code,trend_raw,se,tstat_raw,trend_per_year,program_name
PRTC,0.03430405982143153,0.00682008758471786,5.029856199838034,0.03785071596939121,Productivity and Technical Change
PRBC,0.026508073567316513,0.0009984643378330381,26.54884362204347,0.030054729715276195,Health-Care Information Technology
GFC,0.014769726260651843,0.000867412210148114,17.027344194439983,0.018316382408611522,Global Financial Crisis
EE,0.012065513684100457,0.001812392064882499,6.657231576923003,0.015612169832060136,Environmental Economics
SAV,0.011707386196317249,0.004036327031539924,2.9005048661408126,0.015254042344276929,Saving
EFBEM,0.011237487479551847,0.0009672959163105732,11.617424709507185,0.014784143627511527,Behavioral Macro
SD,0.010631795226169822,0.0008674122101481253,12.256912113739169,0.014178451374129502,Sovereign Debt
AMRE,0.010075132283199116,0.01603360135487275,0.6283761246276212,0.013621788431158795,Asset Markets and Real Estate
HY,0.008662915047141131,0.0006605558733184493,13.114583333611208,0.012209571195100811,Economics of Hydrocarbon Infrastructure and Transportation
PRIO,0.006749871524270517,0.003105832877048702,2.1732887091737334,0.010296527672230197,Industrial Organization and Productivity
IFMDS,0.005584309363857032,0.0010257295935834003,5.444231499988385,0.009130965511816712,IFM Data Session
SWB,0.00411862259932863,0.0007457628734324463,5.5226972889817745,0.0076652787472883096,Subjective Well-Being
LS,0.0031882792062319625,0.0004946192526254216,6.445926213564653,0.006734935354191642,Labor Studies
EFEG,0.0023267977936610373,0.0012058844411256917,1.9295362924568247,0.005873453941620717,EFG Program Meeting
PE,0.0017820047259896029,0.0004800725572782383,3.711948743941213,0.0053286608739492826,Public Economics
HC,0.0017124442205942827,0.0004986292447719785,3.4343036204733193,0.005259100368553963,Health Care
EFG,0.0012767970445013172,0.0004946192526254256,2.581373526655327,0.004823453192460997,Economic Growth and Long-Run Macroeconomic Development
SF,0.0010302089721967835,0.0006273120383950681,1.6422592093601418,0.004576865120156463,Sustainable Finance
PRBB,0.0010113977825182304,0.0011367120625014515,0.889757235700082,0.00455805393047791,Productivity and Business Cycles
HFC,0.0009766228123759568,0.0008674122101481331,1.125903925434913,0.004523278960335636,Household Finance and Consumption
PENS,0.000592067302842563,0.0006548113827962952,0.9041799186724718,0.004138723450802243,Economics of National Security
EFMB,0.0005428579000094531,0.0009066002558163321,0.5987841901948796,0.004089514047969133,Macro Within and Across Borders
ITI,0.0003169544179920468,0.000494619252625422,0.6408048540562536,0.0038636105659517264,International Trade & Investment
CCDF,1.6536214836552724e-15,1.5875531997850849e-15,1.041616421975107,0.0035466561479613333,Currency Crises: Diagnosis and Frameworks
PEC,7.671082945689577e-18,2.83642000623345e-28,27044947253.337814,0.0035466561479596875,Public Economics: Corporate Taxation
CCEF,-1.3628226144892278e-15,5.549080777246835e-16,-2.455943009655357,0.003546656147958317,Currency Crises: Exchange Rates and Financial Issues
CF,-7.139180368747239e-05,0.000494619252625416,-0.14433688803767344,0.003475264344272207,Corporate Finance
HE,-0.0002654314141494974,0.0005962349022544959,-0.44517926264605207,0.0032812247338101824,Health Economics
EFMM,-0.00032217280131891977,0.00132505468997137,-0.24313924833236947,0.0032244833466407597,Micro Data and Macro Models
AP,-0.00040207963437524316,0.0004946192526254137,-0.8129073671132392,0.0031445765135844368,Asset Pricing
HF,-0.00044584941049822364,0.000756171938494356,-0.5896138005146979,0.003100806737461456,Household Finance
EFJK,-0.0004792849582154426,0.00079422701416232,-0.6034609118917338,0.003067371189744237,Economic Fluctuations and Growth Workshop
PRB,-0.0006286615843064424,0.0011187273741671392,-0.5619435072592758,0.002917994563653237,Productivity and Business
ME,-0.000636104868400473,0.0004946192526254161,-1.2860495523052486,0.0029105512795592065,Monetary Economics
IFM,-0.0006687350734444638,0.0004946192526254159,-1.3520199019646915,0.002877921074515216,International Finance & Macroeconomics
PRIT,-0.0008130214603529547,0.0007382153934939388,-1.1013336588728695,0.002733634687606725,Digital Economics and Artificial Intelligence
PRINN,-0.0008906810265349633,0.0006094862957795224,-1.4613635002175032,0.0026559751214247163,Innovation
ITM,-0.0009787519654596722,0.0007561719384943579,-1.294351080269524,0.0025679041825000075,International Trade & Macroeconomics
IAP,-0.0011384673800328264,0.0010536564272482934,-1.0804920376237095,0.0024081887679268535,International Asset Pricing
PRIPE,-0.0011619196619931003,0.000783504141217109,-1.4829783288549745,0.0023847364859665796,"Productivity, Innovation, and the Economy"
CH,-0.001206138584130512,0.0004947607934606474,-2.4378216707392495,0.0023405175638291677,Children and Families
MEFM,-0.0013133537257549854,0.0007808891983913964,-1.6818695001293995,0.0022333024222046943,"Macro, Money and Financial Frictions"
DEV,-0.0017133627653565056,0.0009066002558163366,-1.8898767724411571,0.0018332933826031741,Development Economics
EFFE,-0.0018399895196913756,0.00048580234455311593,-3.7875270474125875,0.001706666628268304,Forecasting and Empirical Methods
POL,-0.0018403356316711885,0.0007233817451902225,-2.5440725369524615,0.0017063205162884912,Political Economy
PPL,-0.0018432106905994364,0.0005787841978836793,-3.1846251112921267,0.0017034454573602433,Personnel Economics
EFCE,-0.0018958406258833094,0.0005515094363893754,-3.4375488446671154,0.0016508155220763703,Economic Fluctuations and Growth: Consumption and the Economy
IO,-0.0020940384691913666,0.0004946192526254313,-4.23363720291162,0.001452617678768313,Industrial Organization
EFEL,-0.002150549509953281,0.0005762337796640314,-3.7320781700912122,0.0013961066380063988,Capital Markets and the Economy
AG,-0.0022036146464079294,0.0004946192526254101,-4.455173620337808,0.0013430415015517503,Aging
URB,-0.002399033680888555,0.0008644540826479456,-2.7752008221650986,0.0011476224670711249,Urban Economics
ED,-0.002658422397926143,0.0005756139546032209,-4.618412004550224,0.0008882337500335366,Economics of Education
PESS,-0.00294432902268386,0.0004968775451521502,-5.9256632774223466,0.0006023271252758198,Economics of Social Security
DAE,-0.0029958879558066153,0.0004946192526254154,-6.056957831512997,0.0005507681921530644,Development of the American Economy
MPF,-0.0030698896734674182,0.0007808891983913906,-3.9312743469768865,0.00047676647449226145,Macro Public Finance
GE,-0.003090033773021897,0.0020273551776188578,-1.52416991710903,0.0004566223749377825,Gender in the Economy
EEE,-0.003144755833160499,0.0007316575615087528,-4.29812524137069,0.0004019003147991808,Environmental & Energy Economics
CRI,-0.00316474955640973,0.0007452234991334015,-4.246711973105953,0.00038190659154994965,Economics of Crime
