year,fe_raw,se,fe
2000,0.0,,0.027985253929173788
2001,-0.005999156530580499,0.01964399413662039,0.02198609739859329
2002,-0.014041234187259671,0.011751846355314755,0.013944019741914117
2003,-0.024382616360659047,0.012006894347968224,0.003602637568514741
2004,-0.015810333345400756,0.013930453517992752,0.012174920583773032
2005,-0.020504180645301115,0.017029364708382393,0.007481073283872673
2006,-0.00657529085321534,0.013134031329830594,0.02140996307595845
2007,-0.028931647374242905,0.013795975819248645,-0.0009463934450691172
2008,-0.01844729579346349,0.012616143184906855,0.0095379581357103
2009,-0.03971438020302317,0.01697635031320634,-0.01172912627384938
2010,-0.026943244932306175,0.015491413644298749,0.0010420089968676133
2011,-0.02408851090578002,0.015732180826378478,0.003896743023393767
2012,-0.01806342476735438,0.01732943274985414,0.009921829161819409
2013,-0.03094625971108733,0.016007447960058003,-0.0029610057819135435
2014,-0.02725609851680977,0.017575591861687237,0.0007291554123640166
2015,-0.03612563340831151,0.018821031783956655,-0.008140379479137719
2016,-0.03454903624071884,0.016884031004549507,-0.006563782311545051
2017,-0.05186961058234188,0.01600784914657046,-0.02388435665316809
2018,-0.02293378580262194,0.017587030424898998,0.005051468126551849
2019,-0.040425567913660004,0.017413089466070755,-0.012440313984486216
2020,-0.0361907410789849,0.019328449745820014,-0.008205487149811112
2021,-0.04247276891822906,0.02001923353197684,-0.014487514989055275
2022,-0.04073698407190087,0.01990856546018417,-0.012751730142727083
2023,-0.04401957548908331,0.016970116667382146,-0.01603432155990952
2024,-0.04451441893072782,0.0188000360704006,-0.016529165001554033
2025,-0.03942880514494975,0.019342741437391068,-0.011443551215775963
2026,-0.020631254379678686,0.023915885531766275,0.007353999549495102
