year,program_code,conference_id,http_status,agenda_captured,papers_parsed,html_bytes,source_url
2021,HPC,SI21HPC,200,1,14,18245,https://conference.nber.org/agenda/simple_printable?conf_id=SI21HPC
2021,EFEL,SI21EFEL,200,1,12,17002,https://conference.nber.org/agenda/simple_printable?conf_id=SI21EFEL
2021,CH,SI21CH,200,1,16,17256,https://conference.nber.org/agenda/simple_printable?conf_id=SI21CH
2021,CRIW,SI21PRCR,200,1,14,19351,https://conference.nber.org/agenda/simple_printable?conf_id=SI21PRCR
2021,CF,SI21CF,200,1,12,16535,https://conference.nber.org/agenda/simple_printable?conf_id=SI21CF
2021,DEV,SI21DEV,200,1,12,16127,https://conference.nber.org/agenda/simple_printable?conf_id=SI21DEV
2021,DAE,SI21DAE,200,1,24,28339,https://conference.nber.org/agenda/simple_printable?conf_id=SI21DAE
2021,DEM,SI21EFSF,200,1,8,8631,https://conference.nber.org/agenda/simple_printable?conf_id=SI21EFSF
2021,EFEG,EFGs21,200,1,6,9966,https://conference.nber.org/agenda/simple_printable?conf_id=EFGs21
2021,EFG,SI21EFEG,200,1,12,18281,https://conference.nber.org/agenda/simple_printable?conf_id=SI21EFEG
2021,CRI,SI21CRI,200,1,12,17219,https://conference.nber.org/agenda/simple_printable?conf_id=SI21CRI
2021,ED,SI21ED,200,1,12,13998,https://conference.nber.org/agenda/simple_printable?conf_id=SI21ED
2021,PENS,SI21PENS,200,1,6,6904,https://conference.nber.org/agenda/simple_printable?conf_id=SI21PENS
2021,PESS,SI21ESS,200,1,7,8249,https://conference.nber.org/agenda/simple_printable?conf_id=SI21ESS
2021,ENT,SI21PRENT,200,1,6,8877,https://conference.nber.org/agenda/simple_printable?conf_id=SI21PRENT
2021,EEE,SI21EEE,200,1,24,25238,https://conference.nber.org/agenda/simple_printable?conf_id=SI21EEE
2021,EFFE,SI21EFFE,200,1,8,10639,https://conference.nber.org/agenda/simple_printable?conf_id=SI21EFFE
2021,HC,SI21HC,200,1,8,13075,https://conference.nber.org/agenda/simple_printable?conf_id=SI21HC
2021,HE,SI21HE,200,1,10,13515,https://conference.nber.org/agenda/simple_printable?conf_id=SI21HE
2021,HF,SI21HF,200,1,16,21650,https://conference.nber.org/agenda/simple_printable?conf_id=SI21HF
2021,IFMDS,SI21IFMDS,200,1,5,6184,https://conference.nber.org/agenda/simple_printable?conf_id=SI21IFMDS
2021,PRIT,SI21PRIT,200,1,37,40085,https://conference.nber.org/agenda/simple_printable?conf_id=SI21PRIT
2021,IPM,SI21EFCE,200,1,20,22883,https://conference.nber.org/agenda/simple_printable?conf_id=SI21EFCE
2021,IO,SI21IO,200,1,12,20167,https://conference.nber.org/agenda/simple_printable?conf_id=SI21IO
2021,EFDIS,SI21EFDIS,200,1,6,7999,https://conference.nber.org/agenda/simple_printable?conf_id=SI21EFDIS
2021,PRINN,SI21PRINN,200,1,8,11988,https://conference.nber.org/agenda/simple_printable?conf_id=SI21PRINN
2021,IAP,SI21IAP,200,1,7,9632,https://conference.nber.org/agenda/simple_printable?conf_id=SI21IAP
2021,IFM,SI21IFM,200,1,12,20402,https://conference.nber.org/agenda/simple_printable?conf_id=SI21IFM
2021,ITI,SI21ITI,200,1,15,25922,https://conference.nber.org/agenda/simple_printable?conf_id=SI21ITI
2021,ITM,SI21ITM,200,1,4,7056,https://conference.nber.org/agenda/simple_printable?conf_id=SI21ITM
2021,LS,SI21LS,200,1,19,24648,https://conference.nber.org/agenda/simple_printable?conf_id=SI21LS
2021,LE,SI21LE,200,1,4,6147,https://conference.nber.org/agenda/simple_printable?conf_id=SI21LE
2021,EFMPL,SI21EFMPL,200,1,12,16382,https://conference.nber.org/agenda/simple_printable?conf_id=SI21EFMPL
2021,MPF,SI21MPF,200,1,6,9129,https://conference.nber.org/agenda/simple_printable?conf_id=SI21MPF
2021,EFMB,SI21EFMB,200,1,5,9252,https://conference.nber.org/agenda/simple_printable?conf_id=SI21EFMB
2021,MEFM,SI21MEFM,200,1,11,17881,https://conference.nber.org/agenda/simple_printable?conf_id=SI21MEFM
2021,PRMP,SI21PRMP,200,1,6,6694,https://conference.nber.org/agenda/simple_printable?conf_id=SI21PRMP
2021,EFMM,SI21EFMM,200,1,9,13451,https://conference.nber.org/agenda/simple_printable?conf_id=SI21EFMM
2021,ME,SI21ME,200,1,19,22295,https://conference.nber.org/agenda/simple_printable?conf_id=SI21ME
2021,PPL,SI21PPL,200,1,14,18678,https://conference.nber.org/agenda/simple_printable?conf_id=SI21PPL
2021,POL,SI21POL,200,1,9,12157,https://conference.nber.org/agenda/simple_printable?conf_id=SI21POL
2021,PRPD,SI21PRPD,200,1,6,7711,https://conference.nber.org/agenda/simple_printable?conf_id=SI21PRPD
2021,PE,SI21PE,200,1,12,17063,https://conference.nber.org/agenda/simple_printable?conf_id=SI21PE
2021,REAL,SI21REAL,200,1,18,21690,https://conference.nber.org/agenda/simple_printable?conf_id=SI21REAL
2021,RISK,SI21RISK,200,1,11,15708,https://conference.nber.org/agenda/simple_printable?conf_id=SI21RISK
2021,SIP,SI21PRSF,200,1,7,12911,https://conference.nber.org/agenda/simple_printable?conf_id=SI21PRSF
2021,URB,SI21URB,200,1,35,35073,https://conference.nber.org/agenda/simple_printable?conf_id=SI21URB
2022,AG,SI22AG,200,1,16,19563,https://conference.nber.org/agenda/simple_printable?conf_id=SI22AG
2022,AP,SI22AP,200,1,14,19825,https://conference.nber.org/agenda/simple_printable?conf_id=SI22AP
2022,EFBEM,SI22EFBEM,200,1,6,8509,https://conference.nber.org/agenda/simple_printable?conf_id=SI22EFBEM
2022,HPC,SI22HPC,200,1,8,13467,https://conference.nber.org/agenda/simple_printable?conf_id=SI22HPC
2022,EFEL,SI22EFEL,200,1,12,18422,https://conference.nber.org/agenda/simple_printable?conf_id=SI22EFEL
2022,CH,SI22CH,200,1,21,24688,https://conference.nber.org/agenda/simple_printable?conf_id=SI22CH
2022,CRIW,SI22PRCR,200,1,16,23391,https://conference.nber.org/agenda/simple_printable?conf_id=SI22PRCR
2022,CF,SI22CF,200,1,12,18732,https://conference.nber.org/agenda/simple_printable?conf_id=SI22CF
2022,DEV,SI22DEV,200,1,19,23880,https://conference.nber.org/agenda/simple_printable?conf_id=SI22DEV
2022,DAE,SI22DAE,200,1,31,32228,https://conference.nber.org/agenda/simple_printable?conf_id=SI22DAE
2022,DEM,SI22EFSF,200,1,8,10183,https://conference.nber.org/agenda/simple_printable?conf_id=SI22EFSF
2022,EFEG,EFGs22,200,1,6,9216,https://conference.nber.org/agenda/simple_printable?conf_id=EFGs22
2022,EFG,SI22EFEG,200,1,12,18264,https://conference.nber.org/agenda/simple_printable?conf_id=SI22EFEG
2022,CRI,SI22CRI,200,1,14,21473,https://conference.nber.org/agenda/simple_printable?conf_id=SI22CRI
2022,ED,SI22ED,200,1,6,8735,https://conference.nber.org/agenda/simple_printable?conf_id=SI22ED
2022,PENS,SI22PENS,200,1,7,8950,https://conference.nber.org/agenda/simple_printable?conf_id=SI22PENS
2022,PESS,SI22ESS,200,1,6,8858,https://conference.nber.org/agenda/simple_printable?conf_id=SI22ESS
2022,ENT,SI22PRENT,200,1,8,11251,https://conference.nber.org/agenda/simple_printable?conf_id=SI22PRENT
2022,EEE,SI22EEE,200,1,22,28003,https://conference.nber.org/agenda/simple_printable?conf_id=SI22EEE
2022,EFFE,SI22EFFE,200,1,16,19507,https://conference.nber.org/agenda/simple_printable?conf_id=SI22EFFE
2022,GE,SI22GE,200,1,11,14266,https://conference.nber.org/agenda/simple_printable?conf_id=SI22GE
