paper_id,year,program_code,program_name,conference_id,title,author_count,author_names,program_year_organizers,organizer_coauthored_program_year,matched_author_names_program_year,matched_organizer_names_program_year,match_methods,included_in_measure,source_url
SI2020-DEV-374b49647a,2020,DEV,Development Economics,SI20DEV,Islam and the State: Religious Education in the Age of Mass Schooling,3,Samuel Bazzi; Masyhur Hilmy; Benjamin Marx,Christopher Blattman; Shawn Cole; Dave Donaldson; Kelsey Jack; Seema Jayachandran; Paul Niehaus; Alessandra Voena,0,,,,1,https://conference.nber.org/agenda/simple_printable?conf_id=SI20DEV
SI2020-CRI-f055729adf,2020,CRI,Economics of Crime,SI20CRI,Measuring Racial Discrimination in Bail Decisions,3,David Arnold; Will S. Dobbie; Peter Hull,Philip J. Cook; Jens Ludwig,0,,,,1,https://conference.nber.org/agenda/simple_printable?conf_id=SI20CRI
SI2020-ITM-a8f372cf5a,2020,ITM,International Trade & Macroeconomics,SI20ITM,Tariff Passthrough at the Border and at the Store: Evidence from US Trade Policy,4,Alberto Cavallo; Gita Gopinath; Brent Neiman; Jenny Tang,Andrei A. Levchenko; Katheryn Russ,0,,,,1,https://conference.nber.org/agenda/simple_printable?conf_id=SI20ITM
SI2020-MEFM-fae8502623,2020,MEFM,"Macro, Money and Financial Markets",SI20MEFM,Exchange Rates and Asset Prices in a Global Demand System,2,Ralph S. J. Koijen; Motohiro Yogo,Markus K. Brunnermeier; Arvind Krishnamurthy; Guillermo Ordoñez,0,,,,1,https://conference.nber.org/agenda/simple_printable?conf_id=SI20MEFM
SI2020-URB-84ad538819,2020,URB,Urban Economics,SI20URB,Spatial Economics for Granular Settings,2,Jonathan I. Dingel; Felix Tintelnot,Edward L. Glaeser,0,,,,1,https://conference.nber.org/agenda/simple_printable?conf_id=SI20URB
SI2021-ED-27e10c1394,2021,ED,Economics of Education,SI21ED,Trauma at School: The Impacts of Shootings on Students' Human Capital and Economic Outcomes,5,Marika Cabral; Bokyung Kim; Maya Rossin-Slater; Molly Schnell; Hannes Schwandt,Caroline M. Hoxby,0,,,,1,https://conference.nber.org/agenda/simple_printable?conf_id=SI21ED
SI2024-LS-747c70eca5,2024,LS,Labor Studies,SI24LS,Teaching Teachers To Teach Computer Assisted Learning Effectively: Experimental and Quasi-Experimental Evidence,4,Philip Oreopoulos; Chloe Gibbs; Michael Jensen; Joseph Price,David Autor; Sydnee Caldwell; Andrew Garin; Patrick M. Kline; Thibaut Lamadon; Alexandre Mas; Evan K. Rose; Melanie Wasserman,0,,,,1,https://conference.nber.org/agenda/simple_printable?conf_id=SI24LS
