year,program_years_total,program_years_captured,coverage,papers_total,papers_coauthored_by_organizer,weighted_organizer_share,unweighted_mean_program_share
2020,47,47,1.0,505,13,0.02574257425742574,0.0198268348748788
2021,50,50,1.0,600,12,0.02,0.017195511300774458
2022,49,49,1.0,643,14,0.02177293934681182,0.020912616165466028
2023,50,49,0.98,633,12,0.018957345971563982,0.016888919921540294
2024,48,47,0.9791666666666666,645,12,0.018604651162790697,0.01742506823656648
2025,50,49,0.98,651,15,0.02304147465437788,0.02598492932526546
2026,48,48,1.0,645,27,0.04186046511627907,0.039954600121022775
