year,papers_total,papers_with_organizer,n_programs,share,n_years_in_window
2000,651.0,37.0,32.0,0.05683563748079877,2
2001,1013.0,54.0,32.666666666666664,0.05330700888450148,3
2002,1079.0,51.0,34.0,0.047265987025023166,3
2003,1168.0,52.0,35.0,0.04452054794520548,3
2004,1192.0,51.0,35.333333333333336,0.04278523489932886,3
2005,1185.0,56.0,35.0,0.04725738396624472,3
2006,1172.0,50.0,36.0,0.042662116040955635,3
2007,1219.0,53.0,37.333333333333336,0.043478260869565216,3
2008,1278.0,42.0,39.333333333333336,0.03286384976525822,3
2009,1356.0,47.0,41.333333333333336,0.03466076696165192,3
2010,1440.0,49.0,43.666666666666664,0.034027777777777775,3
2011,1576.0,67.0,47.0,0.04251269035532995,3
2012,1650.0,68.0,48.666666666666664,0.041212121212121214,3
2013,1718.0,69.0,49.333333333333336,0.040162980209545986,3
2014,1731.0,60.0,49.666666666666664,0.03466204506065858,3
2015,1780.0,60.0,49.0,0.033707865168539325,3
2016,1790.0,46.0,48.666666666666664,0.02569832402234637,3
2017,1827.0,54.0,48.0,0.029556650246305417,3
2018,1824.0,50.0,48.666666666666664,0.027412280701754384,3
2019,1734.0,55.0,48.666666666666664,0.031718569780853516,3
2020,1710.0,40.0,49.0,0.023391812865497075,3
2021,1748.0,39.0,48.666666666666664,0.02231121281464531,3
2022,1876.0,38.0,49.333333333333336,0.02025586353944563,3
2023,1921.0,38.0,48.333333333333336,0.01978136387298282,3
2024,1929.0,39.0,48.333333333333336,0.02021772939346812,3
2025,1941.0,54.0,48.0,0.027820710973724884,3
2026,1296.0,42.0,48.5,0.032407407407407406,2
