year,papers_total,papers_with_organizer,n_programs,share,n_years_in_window
2020,1105.0,25.0,48.5,0.02262443438914027,2
2021,1748.0,39.0,48.666666666666664,0.02231121281464531,3
2022,1876.0,38.0,49.333333333333336,0.02025586353944563,3
2023,1921.0,38.0,48.333333333333336,0.01978136387298282,3
2024,1929.0,39.0,48.333333333333336,0.02021772939346812,3
2025,1941.0,54.0,48.0,0.027820710973724884,3
2026,1296.0,42.0,48.5,0.032407407407407406,2
